,Pts,Gm1,Gm2,Set1,Set2,Serving,0,1,2,3,4,5
315,00,3,3,0,0,1,4,1017,102,112,102,102
318,3015,3,3,0,0,1,43041,5,1129,103,113,103
322,5040,3,3,0,0,1,4,1128,113,113,112,112
323,00,4,3,0,0,0,4,1239,113,133,113,132
325,1515,4,3,0,0,0,4,1227,103,112,112,101
327,3030,4,3,0,0,0,4,1228,101,122,18401,104512935
328,4030,4,3,0,0,0,4,1128,112,132,103,132
329,4040,4,3,0,0,0,43141,4,1039,112,111,1023135
330,4050,4,3,0,0,0,42941,4,1137,113,113,113
335,4015,5,3,0,0,1,42941,4,1029,102,103,112
342,00,0,1,1,0,1,42941,5,1129,112,113,1332934
347,00,1,1,1,0,0,6,1329,101,101,102,113
349,300,1,1,1,0,0,63141,4,1017,10451,123,133
352,4030,1,1,1,0,0,4,1128,102,103,113,113
354,4050,1,1,1,0,0,6,1239,112,101,101,102
355,4040,1,1,1,0,0,6,1328,103,111,102,101
357,00,1,2,1,0,1,43141,4,1028,112,113,112
371,150,2,3,1,0,1,43141,5,1028,103,112,112
373,400,2,3,1,0,1,42941,4,1138,11401,102,22328
374,00,3,3,1,0,0,440,1027,143,112,151,20402
375,015,3,3,1,0,0,43141,6,1227,13453,213,1645128
377,3015,3,3,1,0,0,6,1228,103,111,102,102
378,4015,3,3,1,0,0,4,1038,132,24451,102,15328
380,00,3,4,1,0,1,53141,4,1028,103,113,11128
385,00,4,4,1,0,0,6,1129,102,113,111,101
389,3030,4,4,1,0,0,4,1229,113,133,112,102
394,015,4,5,1,0,1,63241,6,1029,102,191,1045128
397,3030,4,5,1,0,1,53141,4,1038,113,113,111
399,4040,4,5,1,0,1,63141,4,1019,102,111,1022934
401,4040,4,5,1,0,1,6,1118,101,103,133,113
402,4050,4,5,1,0,1,6,1039,112,113,112,111
406,150,5,5,1,0,0,43241,4,1138,113,111,102
407,1515,5,5,1,0,0,62941,6,1128,103,113,133
413,300,5,6,1,0,1,42941,5,1127,111,103,1133134
414,3015,5,6,1,0,1,43041,6,1018,102,101,102
417,10,6,6,1,0,1,6,1029,101,101,102,111
419,12,6,6,1,0,0,4,1317,101,101,10403,111
420,22,6,6,1,0,0,43241,4,1228,103,113,113
424,53,6,6,1,0,0,6,1137,113,112,113,11423
425,45,6,6,1,0,1,6,1239,101,103,113,112
426,55,6,6,1,0,1,4,1028,10403,132,143,111
427,65,6,6,1,0,0,6,1229,103,112,103,113
429,150,0,0,1,1,1,42941,4,1127,112,113,113
433,4030,0,0,1,1,1,43141,6,1029,112,111,102
435,5040,0,0,1,1,1,63141,5,1128,103,113,111
437,150,1,0,1,1,0,4,1129,112,101,101,103
441,4030,1,0,1,1,0,6,1028,103,112,101,101
444,300,1,1,1,1,1,43041,5,1117,103,112,112
449,3015,2,1,1,1,0,6,1029,111,10421,183,13451
454,1515,2,2,1,1,1,63141,4,1028,102,113,1922934
463,150,3,3,1,1,1,4,1129,101,102,112,113
469,5040,3,3,1,1,1,6,1038,113,112,112,103
470,00,4,3,1,1,0,63141,5,1128,103,113,113
471,150,4,3,1,1,0,6,1029,191,10451,103,15441
472,1515,4,3,1,1,0,4,1018,102,112,111,121
483,4030,4,4,1,1,1,63141,5,1028,113,113,133
484,4040,4,4,1,1,1,43041,5,1128,103,113,113
485,5040,4,4,1,1,1,62941,5,1129,113,113,113
487,5040,4,4,1,1,1,63041,6,1029,101,101,103
491,5040,4,4,1,1,1,53141,4,1127,101,102,1123134
495,5040,4,4,1,1,1,396,1028,103,112,101,101
500,00,4,5,1,1,0,6,1339,113,112,112,132
501,015,4,5,1,1,0,43141,6,1027,113,113,111
502,030,4,5,1,1,0,63041,4,1018,101,102,113
504,1540,4,5,1,1,0,4,1029,102,111,102,101
505,00,5,5,1,1,1,43241,5,1117,101,103,112
506,015,5,5,1,1,1,43141,4,1128,102,101,102
508,1530,5,5,1,1,1,4,1138,113,112,101,101
511,00,6,5,1,1,0,5,1128,103,113,112,132
513,1515,6,5,1,1,0,62941,4,1018,101,122,113
518,01,6,6,1,1,0,6,1028,11403,112,151,203
522,14,6,6,1,1,0,4,1139,112,101,101,103
523,15,6,6,1,1,0,63141,440,1237,11453,212,16453
525,62,6,6,1,1,1,62941,5,1129,113,111,121
539,00,2,1,0,0,0,4,1029,102,113,113,1112934
548,00,3,2,0,0,0,42941,5,1028,101,101,101
549,150,3,2,0,0,0,62941,4,1138,113,133,113
552,4015,3,2,0,0,0,42941,5,1029,102,101,102
553,4030,3,2,0,0,0,43141,4,1139,113,103,113
555,150,3,3,0,0,1,43041,6,1029,103,113,112
559,00,4,3,0,0,0,63141,5,1128,111,102,102
568,150,4,4,0,0,1,43241,6,1028,103,133,102
572,00,5,4,0,0,0,62941,5,1018,101,101,102
574,1515,5,4,0,0,0,4,1019,102,113,113,112
577,4030,5,4,0,0,0,42941,5,1138,112,101,103
581,150,0,0,1,0,1,4,1129,102,101,103,113
582,1515,0,0,1,0,1,42941,4,1028,102,111,102
583,1530,0,0,1,0,1,4,1138,113,112,101,122
585,4030,0,0,1,0,1,4,1137,112,101,102,1013034
589,3015,1,0,1,0,0,5,1139,113,113,113,113
591,4030,1,0,1,0,0,43141,5,1028,101,101,1222935
593,5040,1,0,1,0,0,62941,4,1139,112,101,101
594,4040,1,0,1,0,0,62941,6,1129,112,101,102
595,4050,1,0,1,0,0,6,1028,101,102,101,1232935
597,4050,1,0,1,0,0,62941,5,1139,113,133,113
600,300,2,0,1,0,1,640,1127,141,102,151,10403
604,300,3,0,1,0,0,53141,5,1128,113,111,103
607,4030,3,0,1,0,0,63141,4,1138,113,112,112
610,00,3,1,1,0,1,43241,6,114237,19451,10451,1435
611,015,3,1,1,0,1,6,1027,10451,102,153,1133235
613,3015,3,1,1,0,1,6,1028,112,113,111,1032935
615,00,4,1,1,0,0,5,1128,112,133,113,1112934
619,1540,4,1,1,0,0,4,1018,123,113,113,112
625,00,0,0,0,0,0,6,1138,113,113,113,111
627,1515,0,0,0,0,0,42941,5,1017,101,101,1023134
630,3040,0,0,0,0,0,42941,5,1129,102,103,113
632,150,0,1,0,0,1,62941,4,1139,113,113,112
638,3015,0,2,0,0,0,6,1039,102,111,102,102
641,00,1,2,0,0,1,63141,4,1029,111,101,10128
642,150,1,2,0,0,1,63141,4,1138,112,102,101
647,150,1,3,0,0,0,43141,5,1138,113,113,112
650,00,2,3,0,0,1,5,1118,101,102,103,113
651,150,2,3,0,0,1,6,1039,113,113,113,112
661,150,3,4,0,0,1,42941,5,1129,101,102,101
666,1515,3,5,0,0,0,43041,5,1029,102,101,101
669,00,4,5,0,0,1,6,1129,103,112,10401,203
670,150,4,5,0,0,1,4,1127,103,112,103,1133134
671,300,4,5,0,0,1,63141,5,1128,113,112,103
672,3015,4,5,0,0,1,43141,4,1127,103,133,10128
677,3015,0,0,0,1,0,6,1029,10421,101,10401,103
678,4015,0,0,0,1,0,43041,4,1028,113,113,112
679,00,1,0,0,1,1,6,1129,103,113,113,1322935
685,300,1,1,0,1,0,42941,6,1137,133,103,113
687,4015,1,1,0,1,0,4,1029,102,112,10403,112
688,00,2,1,0,1,1,4,1029,112,101,103,113
690,1515,2,1,0,1,1,4,1029,113,113,113,1013134
693,3040,2,1,0,1,1,42941,4,1129,103,113,113
694,4040,2,1,0,1,1,4,1017,10403,212,163,112
695,5040,2,1,0,1,1,4,1328,10423,113,102,1013134
699,3015,2,2,0,1,0,6,1038,133,103,113,113
701,00,3,2,0,1,1,4,1017,103,133,101,101
704,3015,3,2,0,1,1,43041,5,1129,112,113,112
705,4015,3,2,0,1,1,43041,5,1129,101,101,10128
711,00,4,3,0,1,1,4,1039,113,133,113,112
712,015,4,3,0,1,1,5,1027,113,133,101,1032935
717,00,4,4,0,1,0,43041,5,1119,103,112,101
722,4030,4,4,0,1,0,6,1039,103,113,101,102
726,400,5,4,0,1,1,63041,4,1128,111,102,10403
727,4015,5,4,0,1,1,43041,5,1118,102,102,113
739,01,6,6,0,1,1,4,1117,10403,112,152,113
741,12,6,6,0,1,0,42941,5,1039,103,113,113
743,41,6,6,0,1,1,4,1129,101,101,103,1332934
744,51,6,6,0,1,1,6,1129,113,113,113,113
751,300,0,0,0,0,1,6,1128,101,102,102,1122934
753,4015,0,0,0,0,1,63041,6,1128,112,10401,1032934
757,00,1,0,0,0,0,43241,4,1029,112,132,103
765,300,1,1,0,0,1,63141,4,1028,111,122,101
768,00,2,1,0,0,0,396,1138,113,133,103,113
770,1515,2,1,0,0,0,42941,5,1018,102,133,103
773,00,3,1,0,0,1,4,1028,113,133,101,102
775,1515,3,1,0,0,1,4,1028,113,133,113,133
779,150,4,1,0,0,0,5,1128,102,103,112,132
782,4015,4,1,0,0,0,62941,6,1128,112,112,10328
788,150,5,2,0,0,0,4,1127,102,102,103,112
790,3015,5,2,0,0,0,6,1029,103,111,102,101
791,3030,5,2,0,0,0,4,1228,101,102,11403,112
794,150,5,3,0,0,1,62941,4,1138,112,101,103
798,015,0,0,1,0,0,4,1128,101,103,113,133
802,3040,0,0,1,0,0,62941,4,1137,113,113,133
804,5040,0,0,1,0,0,63141,6,1038,112,102,101
805,4040,0,0,1,0,0,6,1127,11403,112,152,202
808,5040,0,0,1,0,0,42941,5,114237,132,101,103
813,3030,0,1,1,0,1,4,1229,103,113,103,133
814,3040,0,1,1,0,1,43141,5,1037,111,102,101
817,1515,0,2,1,0,0,62941,5,1028,123,133,103
819,3030,0,2,1,0,0,4,1018,101,103,113,133
820,4030,0,2,1,0,0,63141,5,1027,13403,131,143
834,00,1,4,1,0,1,43241,5,1127,111,121,10403
835,150,1,4,1,0,1,43141,5,1127,113,111,101
842,3030,2,4,1,0,0,6,1328,18403,131,141,123
843,4030,2,4,1,0,0,63041,4,114038,133,151,213
849,00,3,5,1,0,0,52941,4,1028,112,113,19128
852,400,3,5,1,0,0,63141,4,1118,102,101,103
855,300,0,0,1,1,1,63041,5,1038,113,113,111
857,4015,0,0,1,1,1,43141,4,1028,113,111,101
858,00,1,0,1,1,0,43141,6,1138,113,113,112
859,150,1,0,1,1,0,4,1129,101,102,103,113
867,00,2,1,1,1,0,3942941,4,1018,102,133,191
868,015,2,1,1,1,0,6,1038,112,112,113,113
877,4030,3,1,1,1,1,52941,4,1138,113,132,13402
878,4040,3,1,1,1,1,6,1128,101,103,103,133
879,4050,3,1,1,1,1,63041,5,1028,111,102,103
883,3015,3,2,1,1,0,6,1018,101,103,113,111
884,3030,3,2,1,1,0,63141,4,1028,113,113,191
886,00,3,3,1,1,1,6,1118,103,112,101,103
897,4030,4,3,1,1,0,43141,6,1028,113,111,122
899,5040,4,3,1,1,0,62941,6,1029,103,113,133
900,4040,4,3,1,1,0,5,1028,103,111,102,101
901,5040,4,3,1,1,0,4,1137,193,113,112,1032934
915,3015,5,5,1,1,1,4,1138,112,102,111,101
917,3040,5,5,1,1,1,394,1318,101,102,103,132
919,015,5,6,1,1,0,6,1029,103,113,112,112
922,3030,5,6,1,1,0,5,1128,112,111,102,113
926,4040,5,6,1,1,0,6,1128,103,113,112,111
927,4050,5,6,1,1,0,63141,5,1038,112,101,101
930,4040,5,6,1,1,0,6,1328,103,113,103,111
931,4050,5,6,1,1,0,63141,5,1038,113,112,101
934,4040,5,6,1,1,0,63141,5,1018,101,101,1022934
937,5040,5,6,1,1,0,5,1219,101,101,102,10401
941,400,0,0,0,0,1,43141,4,1138,103,113,112
944,300,1,0,0,0,0,62941,6,1138,101,122,18453
951,150,2,1,0,0,0,6,1028,102,101,101,101
953,3015,2,1,0,0,0,43141,4,1138,103,112,104033034
956,00,2,2,0,0,1,42941,6,1128,101,121,10403
957,150,2,2,0,0,1,63141,6,1028,101,101,102
962,150,3,2,0,0,0,63141,5,1138,103,112,101
963,300,3,2,0,0,0,6,1129,101,102,102,101
965,3030,3,2,0,0,0,43041,4,1018,101,122,10401
971,00,5,2,0,0,0,63241,6,1329,101,103,112
981,300,0,0,1,0,1,4,1039,112,102,103,111
982,400,0,0,1,0,1,6,1029,103,133,131,102
984,00,1,0,1,0,0,394,1018,102,113,11423,113
985,015,1,0,1,0,0,53141,5,1039,112,10421,101
992,1515,1,1,1,0,1,43041,6,1138,113,112,102
993,3015,1,1,1,0,1,62941,5,1128,111,102,113
997,015,2,1,1,0,0,63041,5,1128,101,102,102
998,1515,2,1,1,0,0,43041,5,1118,102,113,113
1002,00,2,2,1,0,1,6,1129,103,113,103,113
1006,3030,2,2,1,0,1,5,1139,113,10403,212,1645128
1007,3040,2,2,1,0,1,4,1129,101,101,101,102
1020,3015,3,4,1,0,0,4,1129,101,103,132,11403
1021,3030,3,4,1,0,0,3943041,5,1138,113,113,103
1023,00,3,5,1,0,1,42941,6,1129,102,102,133
1026,1530,3,5,1,0,1,6,1038,112,112,112,101
1029,4040,3,5,1,0,1,6,1139,113,112,101,121
1034,3015,0,0,1,1,0,43141,5,1138,132,103,113
1039,300,0,1,1,1,1,43241,5,1119,101,10403,1132935
1040,3015,0,1,1,1,1,42941,5,1038,112,101,102
1041,4015,0,1,1,1,1,63241,6,1129,113,112,11128
1042,00,1,1,1,1,0,63041,5,1038,113,113,103
1044,1515,1,1,1,1,0,43041,5,1018,102,112,1013034
1046,1540,1,1,1,1,0,4,1019,102,113,113,113
1055,150,2,2,1,1,0,63141,5,1139,103,112,1012934
1057,1530,2,2,1,1,0,43241,6,1028,103,113,113
1059,4030,2,2,1,1,0,4,1318,10401,201,16453,211
1060,00,2,3,1,1,1,43241,6,1129,101,101,101
