,Pts,Gm1,Gm2,Set1,Set2,Serving,0,1,2,3,4,5
5698,4050,2,4,1,2,0,63141,4,1138,1118,1028,1018
5708,4030,0,0,0,0,1,4,1127,104018,101,1438,133
5709,00,1,0,0,0,0,42941,5,1029,1129,1018,1029
5715,4040,1,0,0,0,0,4,1029,1028,1139,1127,1028
5723,00,2,1,0,0,0,63141,6,1128,1139,1118,104229
5724,015,2,1,0,0,0,42941,5,1128,1027,1029,1029
5727,3030,2,1,0,0,0,6,1339,1019,1017,1018,1019
5728,3040,2,1,0,0,0,63141,6,1028,1027,1027,1019
5730,150,3,1,0,0,1,63241,5,1038,1119,1029,1018
5739,150,4,2,0,0,1,62941,6,1027,1018,1029,1028
5740,300,4,2,0,0,1,62941,5,1028,1028,1127,1329
5746,1515,5,2,0,0,0,42941,6,1128,1038,1338,1012934
5749,3040,5,2,0,0,0,63041,5,1129,1039,1138,1128
5750,00,0,0,1,0,1,5,1027,1029,1029,1018,1027
5758,3015,1,0,1,0,0,43141,4,1129,1017,1018,1018
5759,3030,1,0,1,0,0,43341,5,1029,1137,1338,1019
5760,3040,1,0,1,0,0,63141,5,1138,1139,1139,1018
5761,4040,1,0,1,0,0,5,1129,1038,1139,1129,1038
5768,00,3,0,1,0,0,5,1127,104039,2128,1638,203
5770,300,3,0,1,0,0,42941,5,1028,1018,1228,184017
5771,3015,3,0,1,0,0,6,1029,1039,1118,1228,104038
5773,4030,3,0,1,0,0,5,1129,1038,1129,1019,1028
5777,3015,3,1,1,0,1,63141,5,1137,1119,1028,104038
5780,150,4,1,1,0,0,5,1138,1338,1018,1027,1028
5784,4030,4,1,1,0,0,6,1029,1019,1017,1029,1128
5787,1515,4,2,1,0,1,63141,5,1029,1137,1138,1118
5790,3040,4,2,1,0,1,62941,5,1137,1339,1038,1113134
5792,015,4,3,1,0,0,3963041,6,1039,1139,1128,1013134
5793,030,4,3,1,0,0,4,1029,1029,1128,1118,1227
5803,1515,0,0,2,0,0,6,1328,104039,112,1529,101
5804,1530,0,0,2,0,0,6,1039,1037,1039,1138,1328
5808,150,0,1,2,0,1,6,1028,1038,1338,1019,1012935
5814,150,1,1,2,0,0,4,1118,1019,1029,1329,1118
5815,1515,1,1,2,0,0,6,1128,104218,1017,1018,1038
5816,1530,1,1,2,0,0,3943241,5,1128,1019,1218,1018
5817,3030,1,1,2,0,0,4,1018,104029,112,1518,2023135
5818,4030,1,1,2,0,0,4402941,5,1139,1139,1017,1018
5820,5040,1,1,2,0,0,42941,5,1128,1027,1117,1029
5821,00,1,2,2,0,1,4,1027,104539,212,1417,1012935
5825,4015,1,2,2,0,1,42941,6,1129,1028,1029,1038
5827,00,2,2,2,0,0,4,1019,1038,1137,194017,12453
5828,015,2,2,2,0,0,43141,5,1139,1029,1027,184037
5829,030,2,2,2,0,0,6,1329,1018,1217,104019,102
5830,040,2,2,2,0,0,5,1128,1038,1128,1029,1029
5831,00,3,2,2,0,1,6,1127,1019,1017,104038,113
5832,015,3,2,2,0,1,42941,6,1038,1917,124539,213
5844,3040,4,2,2,0,0,6,1019,1028,1127,104019,10421
5858,015,1,0,0,0,0,5,1028,101,101,101,103
5861,3030,1,0,0,0,0,4,1029,112,101,122,10403
5862,3040,1,0,0,0,0,42941,4,1137,112,132,101
5863,4040,1,0,0,0,0,53141,5,1128,112,133,131
5864,4050,1,0,0,0,0,6,1017,101,102,103,113
5867,00,1,1,0,0,1,42941,4,1018,102,113,112
5870,3015,1,1,0,0,1,63141,4,1138,111,101,103
5872,4030,1,1,0,0,1,43141,6,1028,103,113,113
5873,00,2,1,0,0,0,5,1027,102,101,101,102
5874,015,2,1,0,0,0,63141,4,1138,103,132,18128
5876,3015,2,1,0,0,0,4,1328,10401,102,143,1132935
5878,4030,2,1,0,0,0,42941,5,1138,112,133,113
5879,4040,2,1,0,0,0,63041,5,1138,113,132,1032934
5883,00,2,2,0,0,1,43041,6,1128,103,113,1113134
5884,015,2,2,0,0,1,6,1029,113,113,111,101
5889,1515,2,3,0,0,0,4,1027,10402,202,163,112
5891,4015,2,3,0,0,0,6,1138,111,101,121,104013134
5897,4030,2,4,0,0,1,63241,4,1138,112,102,10328
5901,400,3,4,0,0,0,63141,4,1129,101,102,1033034
5908,3040,3,5,0,0,1,63041,4,1028,101,102,102
5909,4040,3,5,0,0,1,43041,4,1028,10403,133,15328
5912,015,4,5,0,0,0,62941,4,1138,112,132,103
5913,030,4,5,0,0,0,4,1028,103,113,101,1013135
5914,1530,4,5,0,0,0,43141,5,1138,103,113,113
5915,1540,4,5,0,0,0,6,1128,101,102,103,132
5916,3040,4,5,0,0,0,43141,4,1128,101,122,101
5917,4040,4,5,0,0,0,63141,5,1138,112,111,101
5921,300,0,0,0,1,1,6,1337,11401,101,142,10128
5924,00,1,0,0,1,0,4,1028,101,102,103,113
5926,1515,1,0,0,1,0,43041,5,1029,112,101,101
5927,3015,1,0,0,1,0,3962941,6,1018,101,102,111
5930,150,1,1,0,1,1,42941,4,1138,111,101,10403
5942,4030,2,2,0,1,1,62941,6,1028,101,101,10128
5944,150,3,2,0,1,0,6,1028,112,133,113,112
5945,1515,3,2,0,1,0,4,1038,113,113,113,111
5946,1530,3,2,0,1,0,4,1138,113,113,133,101
5947,3030,3,2,0,1,0,4,1028,101,101,101,1022935
5948,4030,3,2,0,1,0,43141,4,1138,112,101,101
5950,5040,3,2,0,1,0,6,1037,103,112,101,1013034
5953,1515,3,3,0,1,1,42941,5,1028,103,132,10403
5957,150,4,3,0,1,0,63041,5,1128,101,102,112
5961,00,4,4,0,1,1,62941,4,1028,11403,132,1512934
5962,015,4,4,0,1,1,6,1038,113,112,111,102
5965,4015,4,4,0,1,1,43241,5,1028,111,123,19401
5966,00,5,4,0,1,0,63141,5,1137,132,131,101
5968,030,5,4,0,1,0,43041,5,1137,113,113,113
5972,00,5,5,0,1,1,62941,6,1138,113,112,103
5973,150,5,5,0,1,1,4,1138,111,122,10403,1332935
5976,00,6,5,0,1,0,5,1018,101,101,102,102
5977,150,6,5,0,1,0,5,1128,101,101,181,1813035
5982,10,6,6,0,1,0,6,1028,103,113,102,101
5984,21,6,6,0,1,1,6,1027,191,10401,202,1613035
5985,31,6,6,0,1,1,62941,6,1038,113,113,113
5986,14,6,6,0,1,0,5,1027,101,101,181,1233135
5987,24,6,6,0,1,0,63241,396,1128,113,113,101
5988,43,6,6,0,1,1,4,1138,113,113,112,103
5989,44,6,6,0,1,1,63141,6,1037,191,123,213
5990,45,6,6,0,1,0,63041,4,1138,112,133,10128
5991,55,6,6,0,1,0,4,1028,102,101,103,112
5994,67,6,6,0,1,0,43141,4,1138,112,101,101
5996,015,0,0,1,1,0,4,1138,103,113,113,1132935
5999,3030,0,0,1,1,0,6,1129,103,113,113,112
6000,3040,0,0,1,1,0,43141,4,1138,113,112,101
6001,4040,0,0,1,1,0,42941,5,1027,10403,212,16128
6002,5040,0,0,1,1,0,43141,4,1138,111,101,101
6004,5040,0,0,1,1,0,6,1028,101,101,101,103
6005,4040,0,0,1,1,0,4,1017,10403,212,163,112
6012,3040,0,1,1,1,1,63141,4,1138,112,113,113
6015,300,0,2,1,1,0,63141,5,114029,112,141,122
6017,4015,0,2,1,1,0,43041,5,114028,113,153,111
6018,00,0,3,1,1,1,62941,4,1028,113,133,11421
6019,015,0,3,1,1,1,6,1037,11403,112,151,1035
6021,3015,0,3,1,1,1,63141,6,1038,113,133,11401
6026,1515,1,3,1,1,0,4,1018,10403,132,151,202
6034,00,2,4,1,1,0,5,1118,101,101,103,133
6035,150,2,4,1,1,0,4,1138,101,104238,103,112
6036,300,2,4,1,1,0,5,1128,102,103,113,101
6040,300,2,5,1,1,1,43041,5,1037,111,122,10403
6043,150,3,5,1,1,0,42941,4,1138,112,112,102
6044,1515,3,5,1,1,0,4,1018,102,113,113,113
6046,3030,3,5,1,1,0,6,1338,113,113,113,113
6051,5040,3,5,1,1,0,6,1038,113,113,113,111
6053,5040,3,5,1,1,0,4,1137,111,101,121,101
6055,5040,3,5,1,1,0,42941,5,1138,112,102,101
6056,00,0,0,0,0,1,4,1029,103,113,112,10128
6058,1515,0,0,0,0,1,6,1139,113,111,101,101
6064,00,1,0,0,0,0,63241,6,1139,113,113,1013035
6069,00,1,1,0,0,1,63141,4,1018,103,113,133
6070,150,1,1,0,0,1,6,1028,103,113,133,133
6071,300,1,1,0,0,1,6,1128,103,112,103,113
6072,3015,1,1,0,0,1,62941,5,1138,113,113,113
6074,4030,1,1,0,0,1,4,1138,112,102,103,112
6075,4040,1,1,0,0,1,43241,6,1128,113,111,101
6076,5040,1,1,0,0,1,440,1127,11453,111,143,1345128
6077,4040,1,1,0,0,1,4,1029,103,113,113,112
6081,1515,2,1,0,0,0,4,1228,113,113,111,101
6083,1540,2,1,0,0,0,43041,6,1128,111,122,103
6086,300,3,1,0,0,1,63041,4,1028,101,101,1033034
6089,4030,3,1,0,0,1,5,1138,191,10453,212,17453
6091,5040,3,1,0,0,1,63141,4,1139,112,113,113
6092,4040,3,1,0,0,1,4,1018,101,101,103,112
6093,5040,3,1,0,0,1,6,1029,113,133,112,1113134
6097,3015,4,1,0,0,0,5,1229,103,113,111,121
6100,00,5,1,0,0,1,62941,6,1129,112,133,111
6101,015,5,1,0,0,1,4,1139,113,113,111,1222935
6102,1515,5,1,0,0,1,63041,4,1018,103,112,191
6106,00,0,0,1,0,0,42941,5,1128,113,112,103
6111,00,0,1,1,0,1,6,1127,133,133,113,111
6113,1515,0,1,1,0,1,62941,4,1018,103,133,113
6114,3015,0,1,1,0,1,63041,6,1018,101,101,103
6118,5040,0,1,1,0,1,6,1028,103,112,133,113
6122,3015,1,1,1,0,0,43141,6,1038,113,113,112
6124,00,1,2,1,0,1,6,1128,103,113,111,101
6125,015,1,2,1,0,1,63241,4,1138,111,101,101
6127,3015,1,2,1,0,1,42941,6,1029,103,113,133
6128,3030,1,2,1,0,1,42941,4,1019,103,133,10423
6130,00,2,2,1,0,0,42941,6,1128,103,113,113
6131,015,2,2,1,0,0,42941,4,1137,113,113,112
6132,1515,2,2,1,0,0,42941,6,1128,111,121,101
6137,015,3,2,1,0,1,63141,6,1028,103,111,101
6147,1530,3,4,1,0,1,6,1029,101,103,113,111
6149,00,3,5,1,0,0,43141,6,1128,113,113,1132934
6150,015,3,5,1,0,0,6,1027,101,101,103,113
6154,4030,3,5,1,0,0,4,1137,112,101,101,102
6158,015,0,0,1,1,1,63241,5,1137,113,113,112
6159,030,0,0,1,1,1,42941,5,1129,112,112,133
6160,1530,0,0,1,1,1,63141,6,1037,113,113,111
6161,1540,0,0,1,1,1,6,1327,1045401,103,153,1112935
6162,3040,0,0,1,1,1,63141,5,1138,113,113,113
6163,00,0,1,1,1,0,43041,6,1129,112,113,112
6168,3040,0,1,1,1,0,43241,6,1038,133,10451,101
6169,4040,0,1,1,1,0,6,1329,111,101,101,102
6170,4050,0,1,1,1,0,6,1228,103,113,191,10451
6173,4040,0,1,1,1,0,4,1027,113,133,101,101
6181,030,0,2,1,1,1,42941,5,1129,113,113,111
6185,015,0,3,1,1,0,43041,5,1038,112,101,102
6186,1515,0,3,1,1,0,42941,5,1028,112,111,103
6196,00,1,4,1,1,0,6,1128,111,102,113,1113034
6198,300,1,4,1,1,0,42941,6,1128,113,113,111
6199,3015,1,4,1,1,0,6,1039,113,112,102,103
6200,3030,1,4,1,1,0,63141,6,1128,111,101,101
6201,4030,1,4,1,1,0,43041,4,1129,112,103,113
6207,00,0,0,0,0,1,43041,5,1129,1138,1128,1018
6208,015,0,0,0,0,1,4,1138,1139,1138,1128,1128
6216,5040,0,0,0,0,1,6,1029,1128,1138,1129,1037
6219,1515,1,0,0,0,0,63141,6,1139,1138,1328,1332934
6220,1530,1,0,0,0,0,42941,5,1137,1338,1138,11393034
6221,1540,1,0,0,0,0,62941,6,1129,1038,1118,1018
6222,3040,1,0,0,0,0,42941,5,1137,1338,1138,1119
6224,150,2,0,0,0,1,3943241,5,1128,1127,1019,1018
6227,00,3,0,0,0,0,6,1128,1138,1328,1138,1128
6229,300,3,0,0,0,0,63141,5,1128,1138,1119,1023135
6230,3015,3,0,0,0,0,5,1028,1018,1029,1028,1017
6236,400,3,1,0,0,1,5,1128,1128,1129,1038,1138
6238,00,4,1,0,0,0,6,1139,1118,1017,104239,1138
6244,4040,4,1,0,0,0,43241,5,1029,1139,1128,1038
6245,4050,4,1,0,0,0,42941,5,1137,1139,1129,1038
6247,5040,4,1,0,0,0,5,1129,1018,1028,1018,1019
6249,5040,4,1,0,0,0,4,1128,1118,1028,1128,11193034
6250,00,4,2,0,0,1,62941,5,1027,1129,1138,1138
6251,150,4,2,0,0,1,52941,6,1038,1139,1118,1227
6253,3015,4,2,0,0,1,62941,5,1128,1129,1039,1129
6255,4030,4,2,0,0,1,43141,5,1138,1137,1138,1129
6259,1530,5,2,0,0,0,63141,5,1139,1128,1039,1138
6260,1540,5,2,0,0,0,63141,6,1128,1019,1029,1128
6266,3040,0,0,1,0,1,63141,4,1129,1018,1037,1139
6267,4040,0,0,1,0,1,6,1329,1038,1127,1339,1138
6268,5040,0,0,1,0,1,6,1038,1138,1118,1218,104038
6272,1530,1,0,1,0,0,4,1137,1338,1129,1017,1017
6273,1540,1,0,1,0,0,5,1027,1039,1137,1138,1323135
6274,3040,1,0,1,0,0,63141,4,1138,1139,1128,1012934
6275,00,2,0,1,0,1,6,1128,1129,1129,1029,10183034
6279,00,3,0,1,0,0,53141,6,1128,1129,1138,1129
6280,150,3,0,1,0,0,42941,5,1128,1019,1028,10383034
6281,1515,3,0,1,0,0,62941,6,1129,1129,1019,1018
6282,1530,3,0,1,0,0,52941,5,1137,1139,1128,1029
6284,00,4,0,1,0,1,42941,6,1139,1138,1138,111828
6285,150,4,0,1,0,1,4,1128,1038,1138,1128,1029
6291,1515,5,0,1,0,0,6,1138,1139,1129,1029,104039
6292,1530,5,0,1,0,0,43041,5,1138,1139,1118,1019
6294,3040,5,0,1,0,0,42941,5,1129,1038,1127,10401828
6304,5040,0,0,0,0,1,4,1138,113,103,111,101
6308,150,1,0,0,0,0,63041,5,1038,112,132,103
6310,3015,1,0,0,0,0,43241,4,1138,10421,101,1032934
6315,030,1,1,0,0,1,6,134227,10401,103,153,114512934
6316,1530,1,1,0,0,1,42941,4,1138,113,113,103
6321,1515,2,1,0,0,0,43041,5,1128,103,133,1012934
6323,3030,2,1,0,0,0,63041,5,1028,103,112,102
6326,4050,2,1,0,0,0,62941,4,1138,103,112,1013035
6328,150,3,1,0,0,1,42941,5,1128,113,11423,133
6332,150,4,1,0,0,0,42941,4,1137,131,103,1313035
6340,400,4,2,0,0,1,42941,6,1028,103,11423,1913034
6350,4040,5,2,0,0,0,62941,5,1038,113,111,121
6353,5040,5,2,0,0,0,63141,5,1038,112,103,113
6360,4040,5,2,0,0,0,63141,6,1329,103,133,161
6363,5040,5,2,0,0,0,6,1027,10403,212,162,1232935
6364,00,5,3,0,0,1,62941,6,1128,103,103,112
6365,015,5,3,0,0,1,62941,5,1038,113,112,101
6366,1515,5,3,0,0,1,5,1128,103,112,103,1133034
6367,3015,5,3,0,0,1,42941,5,1027,101,101,101
6368,3030,5,3,0,0,1,63141,6,1127,133,103,113
6371,4050,5,3,0,0,1,43141,4,1138,113,101,102
6373,150,5,4,0,0,0,6,1038,133,133,133,132
6375,400,5,4,0,0,0,63041,5,1137,133,111,103
6382,150,6,5,0,0,0,42941,4,1137,103,112,1033034
6385,3030,6,5,0,0,0,4,1229,103,113,133,113
6386,4030,6,5,0,0,0,63141,5,1038,112,101,101
6388,5040,6,5,0,0,0,4,1138,102,101,103,1323135
6389,00,6,6,0,0,1,52941,4,1018,102,113,1132934
6390,10,6,6,0,0,0,62941,5,1038,101,101,122
6394,32,6,6,0,0,0,63041,5,1128,101,101,1032934
6396,34,6,6,0,0,1,63041,5,1128,113,111,102
6397,35,6,6,0,0,1,43241,4,1029,102,113,113
6398,54,6,6,0,0,0,42941,5,1138,103,191,123
6400,00,0,0,0,1,0,4,1018,101,122,10401,101
6402,300,0,0,0,1,0,53141,5,1128,111,103,112
6405,4030,0,0,0,1,0,3943041,4,1128,102,101,1033135
6406,4040,0,0,0,1,0,43041,4,1028,113,113,1112934
6407,4050,0,0,0,1,0,4,1137,133,131,101,14328
6411,400,1,0,0,1,1,63241,4,1118,103,13403,212
6418,3040,2,0,0,1,0,42941,4,1128,103,113,103
6419,4040,2,0,0,1,0,63141,6,1128,103,113,1312934
6422,4050,2,0,0,1,0,63041,6,1037,113,112,101
6429,1515,4,0,0,1,0,52941,5,1237,13401,101,14328
6431,3030,4,0,0,1,0,3942941,5,103,112,133,112
6441,300,5,1,0,1,0,3962941,5,1128,11423,132,132
6442,400,5,1,0,1,0,4,1128,101,122,18403,213
6443,00,5,2,0,1,1,6,1328,101,101,102,10328
6446,1530,5,2,0,1,1,5,1328,10401,101,143,11328
6447,1540,5,2,0,1,1,6,1329,101,102,112,112
6449,00,5,3,0,1,0,53141,5,1118,101,122,103
6450,015,5,3,0,1,0,4,1138,131,122,103,113
6451,030,5,3,0,1,0,4,1229,103,113,131,103
6454,3040,5,3,0,1,0,62941,5,1037,132,113,133
6467,300,0,1,1,1,1,62941,5,1128,102,102,103
6470,015,1,1,1,1,0,42941,5,1037,133,133,1013134
6471,030,1,1,1,1,0,5,1339,113,133,103,1113134
6473,3030,1,1,1,1,0,43041,4,1028,10403,113,2312935
6474,3040,1,1,1,1,0,42941,5,1037,113,113,113
6475,00,2,1,1,1,1,42941,4,1028,113,133,113
6476,015,2,1,1,1,1,42941,6,1038,113,101,101
6479,4015,2,1,1,1,1,63141,5,1117,103,133,1322935
6485,300,3,1,1,1,0,42941,5,1028,10403,132,14128
6488,00,3,2,1,1,1,6,1319,101,10422,113,133
6490,1515,3,2,1,1,1,63041,5,1119,102,103,112
6491,1530,3,2,1,1,1,63041,5,1137,112,101,1013035
6492,1540,3,2,1,1,1,4,1018,10403,133,111,1033034
6497,150,4,2,1,1,0,43141,4,1138,131,101,102
6501,015,4,3,1,1,1,42941,5,1128,102,102,102
6504,4015,4,3,1,1,1,6,1129,113,133,112,103
6506,00,5,3,1,1,0,63141,5,1028,111,101,101
6508,1515,5,3,1,1,0,62941,6,114038,132,231,10128
6510,4015,5,3,1,1,0,63041,5,1028,101,101,102
6511,00,5,4,1,1,1,4,1027,103,112,101,1013134
6512,150,5,4,1,1,1,62941,5,1128,102,113,133
6514,3015,5,4,1,1,1,52941,6,1038,11403,131,141
6516,4030,5,4,1,1,1,63141,5,1128,102,112,102
6518,150,0,0,2,1,0,6,1238,103,112,101,101
6519,1515,0,0,2,1,0,62941,4,1028,132,133,113
6522,4030,0,0,2,1,0,6,1028,103,113,102,1033034
6535,150,1,2,2,1,1,4,1328,101,102,101,102
6541,300,2,2,2,1,0,43141,5,1038,133,133,132
6545,00,2,3,2,1,1,43041,4,1029,112,131,103
6546,015,2,3,2,1,1,62941,5,1128,101,101,18403
6548,1530,2,3,2,1,1,6,1228,103,112,101,123
6550,4030,2,3,2,1,1,6,1228,103,133,103,112
6552,150,3,3,2,1,0,63041,5,1128,101,102,1023134
6553,1515,3,3,2,1,0,63041,5,1037,103,113,133
6555,3030,3,3,2,1,0,4,1238,113,113,133,113
6557,00,4,3,2,1,1,62941,5,1037,113,133,133
6558,015,4,3,2,1,1,62941,5,1127,101,102,102
6565,1515,5,3,2,1,0,6,1329,103,112,101,101
6566,3015,5,3,2,1,0,63041,5,1138,112,131,1022935
6569,4040,5,3,2,1,0,42941,4,1038,132,101,102
6570,4050,5,3,2,1,0,43241,4,1138,103,111,101
6572,4050,5,3,2,1,0,43041,5,1129,102,103,113
6577,00,1,0,0,0,0,6,1329,103,132,18401,12128
6585,1515,1,1,0,0,1,63041,4,1338,131,132,1033034
6586,1530,1,1,0,0,1,3962941,6,1138,113,101,122
6590,4050,1,1,0,0,1,6,1329,101,111,101,113
6606,1515,2,4,0,0,1,6,1038,113,103,113,103
6616,300,3,5,0,0,1,62941,6,1028,111,131,101
6617,400,3,5,0,0,1,42941,6,1127,103,102,103
6619,4030,3,5,0,0,1,63041,6,1138,112,103,112
6622,00,4,5,0,0,0,6,1129,102,113,103,131
6623,015,4,5,0,0,0,4,1329,103,131,131,10422
6626,3030,4,5,0,0,0,43141,6,1138,103,112,103
6628,4040,4,5,0,0,0,62941,5,1027,112,101,111
6631,150,5,5,0,0,1,6,1328,103,103,113,103
6634,4015,5,5,0,0,1,43241,6,1038,112,111,103
6636,150,6,5,0,0,0,63141,6,1018,111,101,112
6639,00,6,6,0,0,1,4,1128,111,133,19401,11128
6640,10,6,6,0,0,0,6,1028,102,131,101,121
6641,11,6,6,0,0,0,62941,6,1138,103,112,1113234
6642,21,6,6,0,0,1,6,1328,103,103,191,1322935
6645,24,6,6,0,0,0,6,1318,101,101,132,133
6646,52,6,6,0,0,1,6,1328,101,112,102,102
6649,00,0,0,1,0,0,6,1127,10403,113,141,202
6656,3015,0,1,1,0,1,42941,4,1038,113,103,112
6658,4030,0,1,1,0,1,5,1028,102,113,131,103
6668,3040,1,2,1,0,1,62941,6,1128,101,111,101
6670,5040,1,2,1,0,1,43141,6,1128,103,102,101
6671,00,2,2,1,0,0,62941,6,1128,102,111,111
6677,015,2,3,1,0,1,4,1027,101,212,163,121
6678,1515,2,3,1,0,1,42941,4,114238,113,101,1222935
6679,1530,2,3,1,0,1,42941,6,1118,101,113,111
6680,1540,2,3,1,0,1,42941,6,1027,101,112,102
6682,4040,2,3,1,0,1,42941,4,1117,103,103,113
6692,300,3,4,1,0,1,3962941,5,1138,113,103,113
6700,00,4,5,1,0,1,3943041,4,1127,102,101,121
6705,150,5,5,1,0,0,62941,4,1128,10401,121,1532934
6707,3015,5,5,1,0,0,6,1228,10401,201,16431,122
6711,150,6,5,1,0,1,6,1338,101,132,101,112
6717,300,0,0,2,0,0,62941,6,1128,10401,121,15328
6721,015,0,1,2,0,1,6,1328,103,103,133,103
6723,1530,0,1,2,0,1,42941,6,1128,102,102,113
6726,4040,0,1,2,0,1,63141,4,1138,111,133,132
6729,5040,0,1,2,0,1,6,1328,103,103,101,132
6731,5040,0,1,2,0,1,4,1039,111,111,101,111
6732,00,1,1,2,0,0,62941,6,1128,10403,212,16128
6734,1515,1,1,2,0,0,4,1017,102,112,102,113
6735,1530,1,1,2,0,0,3943041,6,1028,10401,102,143
6748,300,2,2,2,0,0,63141,6,1118,112,103,1233135
6754,1515,2,3,2,0,1,6,1018,101,112,102,102
6761,3015,3,3,2,0,0,43141,4,1128,103,111,151
6763,3040,3,3,2,0,0,3963241,4,1128,112,101,111
6771,400,3,4,2,0,1,42941,5,1027,10401,212,16128
6776,4015,4,4,2,0,0,6,1338,10401,101,153,212
6778,150,4,5,2,0,1,62941,6,1128,111,112,113
6780,400,4,5,2,0,1,42941,6,1128,103,121,18328
6782,015,5,5,2,0,0,5,1228,103,113,103,102
6790,150,6,5,2,0,1,62941,5,1038,113,103,112
6795,1515,0,0,0,0,1,6,1128,1038,1127,1339,1338
6797,3030,0,0,0,0,1,5,1139,1138,1338,1038,1338
6801,030,1,0,0,0,0,4,1018,1027,1329,1039,1337
6802,1530,1,0,0,0,0,4,1138,1139,1129,1028,1017
6803,1540,1,0,0,0,0,4,1219,1029,1127,1028,1039
6806,1515,2,0,0,0,1,63041,4,104039,1337,194537,1345183035
6808,3030,2,0,0,0,1,62941,5,1128,1128,1118,1028
6810,00,3,0,0,0,0,6,1117,1029,1139,1319,1018
6812,1515,3,0,0,0,0,63141,5,1128,1038,1338,1019
6813,1530,3,0,0,0,0,43041,5,1137,1339,1118,1033135
6815,3040,3,0,0,0,0,6,1037,1038,1137,1328,1329
6820,00,5,0,0,0,0,5,1029,1127,1038,1139,1339
6825,3040,5,0,0,0,0,53141,4,1139,1128,1039,1119
6833,4030,5,1,0,0,1,6,1029,1139,1128,1017,1028
6835,4050,5,1,0,0,1,62941,5,1139,1139,1138,1112934
6836,00,5,2,0,0,0,4,1028,1129,1127,1039,1128
6837,150,5,2,0,0,0,42941,6,1038,1328,1019,1227
6838,1515,5,2,0,0,0,6,1117,1029,1129,1318,1018
6842,4040,5,2,0,0,0,6,1128,1329,1038,1129,1018
6845,5040,5,2,0,0,0,43241,5,1137,1329,1018,1032934
6846,4040,5,2,0,0,0,4,1028,1138,1127,1127,1339
6847,5040,5,2,0,0,0,6,1028,1029,1118,1029,1127
6848,4040,5,2,0,0,0,5,1117,1019,1019,1028,1337
6850,00,5,3,0,0,1,42941,5,1028,1138,1128,10193034
6851,015,5,3,0,0,1,6,1028,1137,1329,1039,1128
6852,1515,5,3,0,0,1,4,1038,1138,1338,1138,1139
6857,1515,0,0,1,0,0,6,1118,1019,1018,1018,1038
6858,1530,0,0,1,0,0,62941,4,1129,1019,1029,1012934
6859,1540,0,0,1,0,0,6,1327,104038,113,1517,12173035
6860,3040,0,0,1,0,0,42941,5,1028,1129,1038,1138
6861,4040,0,0,1,0,0,53141,4,1029,1127,104018,102
6862,4050,0,0,1,0,0,4,1127,1018,1027,104039,133
6864,4050,0,0,1,0,0,62941,4,1139,1128,1038,1129
6866,5040,0,0,1,0,0,62941,4,1129,1127,104018,101728
6872,4030,0,1,1,0,1,396,104228,1328,1328,1339,1328
6875,1515,1,1,1,0,0,4,1028,1128,1339,1039,1127
6876,3015,1,1,1,0,0,4,1138,1128,1018,1028,104037
6877,3030,1,1,1,0,0,4,1029,1018,1018,1017,1027
6881,300,1,2,1,0,1,63141,4,1028,1019,1238,134013134
6883,3030,1,2,1,0,1,6,1328,104039,213,1637,11193035
6884,4030,1,2,1,0,1,6,1038,1328,1019,1029,1018
6886,5040,1,2,1,0,1,5,1129,1019,1028,1038,1339
6888,150,2,2,1,0,0,4,1128,1028,1028,1038,11373035
6892,150,2,3,1,0,1,3942941,5,1128,1038,1137,1937
6897,00,3,3,1,0,0,6,1128,1128,1139,1029,1119
6898,015,3,3,1,0,0,4,1129,1029,1039,1329,1337
6900,3015,3,3,1,0,0,63141,4,1128,1038,1338,1329
6901,4015,3,3,1,0,0,63141,5,1028,1339,1138,1339
6904,150,3,4,1,0,1,42941,5,1128,1129,1038,1138
6907,00,4,4,1,0,0,6,1327,1038,1118,1027,1332935
6911,3030,4,4,1,0,0,5,1329,1017,1028,1128,1127
6912,3040,4,4,1,0,0,6,1229,1018,1027,1119,1219
6917,1515,5,4,1,0,1,63141,5,1129,1039,1128,1119
6918,1530,5,4,1,0,1,62941,5,1127,1038,1128,1038
6921,00,0,0,2,0,0,62941,5,1028,1118,1228,1039
6927,015,1,0,2,0,1,42941,6,1038,1128,1037,1333134
6928,030,1,0,2,0,1,62941,5,1127,1118,1018,1012934
6931,3040,1,0,2,0,1,6,1038,1129,1028,1119,1028
6936,4040,1,0,2,0,1,63141,4,1029,1139,1138,1339
6937,5040,1,0,2,0,1,6,1218,1029,1128,1019,1028
6939,015,2,0,2,0,0,5,1037,1128,1129,1128,1029
6940,1515,2,0,2,0,0,5,1127,104039,112,144427,12451
6944,4040,2,0,2,0,0,6,1339,1139,1319,1018,1019
6947,150,2,1,2,0,1,42941,6,1028,1019,1229,1018
6957,015,3,2,2,0,1,4,1129,1029,1028,1328,104037
6959,1530,3,2,2,0,1,4,1138,1118,1039,1139,1138
6960,3030,3,2,2,0,1,3963141,5,1128,1139,1128,1322934
6961,3040,3,2,2,0,1,62941,5,1028,1128,1028,1018
6965,015,4,2,2,0,0,63141,4,1127,1127,1338,1339
6966,1515,4,2,2,0,0,53141,394,1029,1327,134029,21393035
6969,4030,4,2,2,0,0,5,1028,1038,1128,1018,1019
6972,00,4,3,2,0,1,6,1128,1128,1038,1129,1029
6977,00,5,3,2,0,0,42941,5,1128,1039,1137,1339
