,Pts_A,Pts_B,Gm1,Gm2,Set1,Set2,0_dir
203,0,0,0,0,1,1,4
204,15,0,0,0,1,1,4
205,30,0,0,0,1,1,4
206,30,15,0,0,1,1,6
207,30,30,0,0,1,1,6
208,40,30,0,0,1,1,4
209,40,40,0,0,1,1,4
210,50,40,0,0,1,1,6
211,0,0,1,1,1,1,6
212,15,0,1,1,1,1,4
213,30,0,1,1,1,1,4
214,40,0,1,1,1,1,4
215,0,0,2,2,1,1,4
216,15,0,2,2,1,1,4
217,15,15,2,2,1,1,6
218,15,30,2,2,1,1,4
219,30,30,2,2,1,1,6
220,40,30,2,2,1,1,4
221,0,0,3,3,1,1,6
222,15,0,3,3,1,1,4
223,15,15,3,3,1,1,6
224,30,15,3,3,1,1,4
225,30,30,3,3,1,1,4
227,40,40,3,3,1,1,4
228,50,40,3,3,1,1,6
229,0,0,4,4,1,1,6
230,15,0,4,4,1,1,6
231,30,0,4,4,1,1,4
232,30,15,4,4,1,1,4
233,30,30,4,4,1,1,4
234,40,30,4,4,1,1,6
235,40,40,4,4,1,1,4
236,50,40,4,4,1,1,6
237,40,40,4,4,1,1,4
238,50,40,4,4,1,1,6
239,40,40,4,4,1,1,4
240,50,40,4,4,1,1,4
241,40,40,4,4,1,1,4
242,50,40,4,4,1,1,5
243,40,40,4,4,1,1,6
244,40,50,4,4,1,1,6
245,40,40,4,4,1,1,6
247,40,40,4,4,1,1,4
248,50,40,4,4,1,1,4
249,40,40,4,4,1,1,4
250,40,50,4,4,1,1,6
251,0,0,5,5,1,1,4
252,0,15,5,5,1,1,4
253,0,30,5,5,1,1,4
254,15,30,5,5,1,1,4
255,30,30,5,5,1,1,4
256,40,30,5,5,1,1,6
257,0,0,6,6,1,1,4
258,2,1,6,6,1,1,6
259,3,1,6,6,1,1,4
260,5,2,6,6,1,1,4
261,6,2,6,6,1,1,6
262,0,0,0,0,0,0,6
263,15,0,0,0,0,0,4
264,30,0,0,0,0,0,6
265,40,0,0,0,0,0,6
266,40,15,0,0,0,0,6
267,0,0,1,1,0,0,6
268,15,0,1,1,0,0,4
269,30,0,1,1,0,0,4
270,40,0,1,1,0,0,4
271,0,0,2,2,0,0,4
272,15,0,2,2,0,0,6
273,30,0,2,2,0,0,4
274,40,0,2,2,0,0,6
275,0,0,3,3,0,0,6
276,15,0,3,3,0,0,4
277,15,15,3,3,0,0,6
279,40,15,3,3,0,0,6
280,0,0,4,4,0,0,4
281,15,0,4,4,0,0,4
282,15,15,4,4,0,0,4
283,30,15,4,4,0,0,6
284,40,15,4,4,0,0,6
285,0,0,0,0,1,0,4
286,15,0,0,0,1,0,4
287,15,15,0,0,1,0,4
288,15,30,0,0,1,0,4
289,30,30,0,0,1,0,4
290,40,30,0,0,1,0,4
291,0,0,2,0,1,0,6
292,15,0,2,0,1,0,4
293,30,0,2,0,1,0,6
294,40,0,2,0,1,0,4
295,0,0,3,1,1,0,4
296,0,15,3,1,1,0,6
297,15,15,3,1,1,0,4
298,30,15,3,1,1,0,6
299,40,15,3,1,1,0,4
