,Pts_A,Pts_B,Gm1,Gm2,Set1,Set2,0_dir
2343,15,0,1,1,0,1,4
2344,15,15,1,1,0,1,4
2345,15,30,1,1,0,1,4
2346,30,30,1,1,0,1,4
2347,30,40,1,1,0,1,4
2348,40,40,1,1,0,1,4
2349,50,40,1,1,0,1,4
2350,40,40,1,1,0,1,4
2351,50,40,1,1,0,1,4
2352,0,0,2,2,0,1,6
2353,0,15,2,2,0,1,6
2354,15,15,2,2,0,1,6
2355,15,30,2,2,0,1,4
2356,15,40,2,2,0,1,4
2357,30,40,2,2,0,1,4
2358,0,0,2,4,0,1,4
2359,0,15,2,4,0,1,6
2360,0,30,2,4,0,1,4
2361,15,30,2,4,0,1,4
2362,30,30,2,4,0,1,6
2363,40,30,2,4,0,1,6
2364,0,0,3,5,0,1,6
2365,0,15,3,5,0,1,6
2366,15,15,3,5,0,1,6
2367,30,15,3,5,0,1,6
2368,30,30,3,5,0,1,6
2369,40,30,3,5,0,1,6
2370,0,0,0,0,0,2,6
2371,15,0,0,0,0,2,6
2372,30,0,0,0,0,2,4
2373,30,15,0,0,0,2,6
2374,30,30,0,0,0,2,6
2375,30,40,0,0,0,2,6
2376,0,0,0,2,0,2,4
2377,0,15,0,2,0,2,4
2378,0,30,0,2,0,2,4
2379,15,30,0,2,0,2,4
2380,30,30,0,2,0,2,4
2381,40,30,0,2,0,2,4
2382,40,40,0,2,0,2,4
2383,40,50,0,2,0,2,4
2385,15,0,0,4,0,2,4
2386,30,0,0,4,0,2,4
2387,40,0,0,4,0,2,4
2388,0,0,1,5,0,2,5
2389,15,0,1,5,0,2,6
2390,15,15,1,5,0,2,6
2391,30,15,1,5,0,2,6
2392,30,30,1,5,0,2,4
2393,40,30,1,5,0,2,4
2394,0,0,3,5,0,2,4
2395,15,0,3,5,0,2,6
2396,15,15,3,5,0,2,4
2397,30,15,3,5,0,2,6
2398,40,15,3,5,0,2,4
2399,0,0,0,0,0,0,6
2400,15,0,0,0,0,0,4
2401,30,0,0,0,0,0,6
2402,40,0,0,0,0,0,6
2403,0,0,1,1,0,0,4
2404,15,0,1,1,0,0,4
2405,30,0,1,1,0,0,6
2406,40,0,1,1,0,0,4
2407,40,15,1,1,0,0,4
2408,0,0,2,2,0,0,4
2409,0,15,2,2,0,0,4
2410,0,30,2,2,0,0,4
2411,15,30,2,2,0,0,4
2412,30,30,2,2,0,0,6
2413,40,30,2,2,0,0,6
2414,0,0,3,3,0,0,6
2415,15,0,3,3,0,0,6
2416,30,0,3,3,0,0,6
2417,30,15,3,3,0,0,6
2418,30,30,3,3,0,0,4
2419,30,40,3,3,0,0,4
2420,40,40,3,3,0,0,6
2421,50,40,3,3,0,0,6
2422,0,0,4,4,0,0,4
2423,0,15,4,4,0,0,6
2424,15,15,4,4,0,0,4
2425,15,30,4,4,0,0,6
2426,15,40,4,4,0,0,4
2427,0,0,0,0,0,1,5
2428,0,15,0,0,0,1,4
2429,15,15,0,0,0,1,6
2430,15,30,0,0,0,1,6
2431,30,30,0,0,0,1,4
2432,40,30,0,0,0,1,6
2433,40,40,0,0,0,1,4
2434,50,40,0,0,0,1,6
2435,40,40,0,0,0,1,6
2436,50,40,0,0,0,1,4
2437,0,0,2,0,0,1,4
2438,15,0,2,0,0,1,4
2439,30,0,2,0,0,1,6
2440,40,0,2,0,0,1,6
2441,0,0,3,1,0,1,6
2442,15,0,3,1,0,1,6
2443,15,15,3,1,0,1,6
2444,15,30,3,1,0,1,6
2445,30,30,3,1,0,1,6
2446,40,30,3,1,0,1,4
2447,0,0,4,2,0,1,6
2449,30,0,4,2,0,1,6
2450,30,15,4,2,0,1,6
2451,40,15,4,2,0,1,6
2452,40,30,4,2,0,1,6
2453,0,0,0,0,1,1,6
2454,0,15,0,0,1,1,4
2455,0,30,0,0,1,1,6
2456,15,30,0,0,1,1,4
2457,30,30,0,0,1,1,6
2458,30,40,0,0,1,1,6
2459,40,40,0,0,1,1,6
2461,0,0,1,1,1,1,6
2462,0,15,1,1,1,1,4
2463,15,15,1,1,1,1,4
2464,30,15,1,1,1,1,4
2465,40,15,1,1,1,1,6
2466,40,30,1,1,1,1,6
2467,0,0,2,2,1,1,4
2468,15,0,2,2,1,1,6
2469,15,15,2,2,1,1,4
2470,15,30,2,2,1,1,4
2471,15,40,2,2,1,1,4
2472,30,40,2,2,1,1,4
2473,40,40,2,2,1,1,6
2474,50,40,2,2,1,1,6
2475,40,40,2,2,1,1,4
2476,50,40,2,2,1,1,6
2477,0,0,3,3,1,1,4
2478,0,15,3,3,1,1,4
2479,15,15,3,3,1,1,4
2480,30,15,3,3,1,1,6
2481,40,15,3,3,1,1,4
2482,0,0,4,4,1,1,6
2483,15,0,4,4,1,1,6
2484,15,15,4,4,1,1,6
2485,30,15,4,4,1,1,6
2486,40,15,4,4,1,1,4
2487,0,0,0,0,2,1,6
2488,15,0,0,0,2,1,4
2489,15,15,0,0,2,1,4
2490,30,15,0,0,2,1,6
2491,30,30,0,0,2,1,4
2492,40,30,0,0,2,1,6
2493,0,0,1,1,2,1,4
2494,15,0,1,1,2,1,6
2495,30,0,1,1,2,1,4
2496,30,15,1,1,2,1,4
2497,30,30,1,1,2,1,4
2498,40,30,1,1,2,1,6
2499,40,40,1,1,2,1,6
2500,50,40,1,1,2,1,6
2501,40,40,1,1,2,1,4
2502,40,50,1,1,2,1,4
2503,40,40,1,1,2,1,4
2504,40,50,1,1,2,1,4
2505,0,0,1,3,2,1,4
2506,15,0,1,3,2,1,6
2507,15,15,1,3,2,1,4
2508,30,15,1,3,2,1,4
2509,40,15,1,3,2,1,6
2510,40,30,1,3,2,1,6
2511,0,0,2,4,2,1,6
2512,15,0,2,4,2,1,4
2513,30,0,2,4,2,1,4
2514,40,0,2,4,2,1,4
2515,0,0,3,5,2,1,4
2516,15,0,3,5,2,1,6
2517,15,15,3,5,2,1,6
2518,15,30,3,5,2,1,6
2519,30,30,3,5,2,1,6
2520,40,30,3,5,2,1,6
2521,40,40,3,5,2,1,4
2522,50,40,3,5,2,1,4
2523,0,0,0,0,2,2,6
2524,0,15,0,0,2,2,4
2525,15,15,0,0,2,2,6
2526,30,15,0,0,2,2,6
2527,40,15,0,0,2,2,6
2528,0,0,2,0,2,2,6
2529,15,0,2,0,2,2,4
2530,15,15,2,0,2,2,4
2531,30,15,2,0,2,2,4
2532,40,15,2,0,2,2,4
2533,0,0,4,0,2,2,4
2534,15,0,4,0,2,2,6
2535,30,0,4,0,2,2,4
2536,40,0,4,0,2,2,6
2537,0,0,5,1,2,2,6
2538,0,15,5,1,2,2,4
2539,0,30,5,1,2,2,6
2540,15,30,5,1,2,2,6
2541,15,40,5,1,2,2,4
2543,40,40,5,1,2,2,6
2544,40,50,5,1,2,2,6
2545,40,40,5,1,2,2,6
2546,40,50,5,1,2,2,6
2547,40,40,5,1,2,2,6
2548,40,50,5,1,2,2,4
2549,0,0,0,0,0,0,6
2550,15,0,0,0,0,0,4
2551,15,15,0,0,0,0,6
2552,30,15,0,0,0,0,4
2553,40,15,0,0,0,0,6
2554,40,30,0,0,0,0,4
2555,40,40,0,0,0,0,6
2556,50,40,0,0,0,0,5
2557,40,40,0,0,0,0,6
2558,40,50,0,0,0,0,6
2559,40,40,0,0,0,0,6
2560,50,40,0,0,0,0,6
2561,40,40,0,0,0,0,4
2562,50,40,0,0,0,0,4
2563,0,0,1,1,0,0,6
2564,15,0,1,1,0,0,4
2565,30,0,1,1,0,0,6
2566,40,0,1,1,0,0,4
2567,0,0,2,2,0,0,4
2568,15,0,2,2,0,0,6
2569,15,15,2,2,0,0,4
2570,30,15,2,2,0,0,4
2571,30,30,2,2,0,0,4
2572,40,30,2,2,0,0,6
2573,40,40,2,2,0,0,6
2574,50,40,2,2,0,0,6
2575,40,40,2,2,0,0,6
2576,50,40,2,2,0,0,4
2577,0,0,3,3,0,0,4
2578,0,15,3,3,0,0,6
2579,15,15,3,3,0,0,4
2580,30,15,3,3,0,0,6
2581,30,30,3,3,0,0,6
2582,30,40,3,3,0,0,6
2583,40,40,3,3,0,0,4
2584,40,50,3,3,0,0,4
2585,40,40,3,3,0,0,4
2586,50,40,3,3,0,0,6
2587,0,0,4,4,0,0,4
2588,15,0,4,4,0,0,4
2589,30,0,4,4,0,0,4
2590,40,0,4,4,0,0,4
2591,40,15,4,4,0,0,4
2592,40,30,4,4,0,0,6
2593,0,0,5,5,0,0,6
2594,0,15,5,5,0,0,4
2595,15,15,5,5,0,0,6
2596,15,30,5,5,0,0,4
2597,30,30,5,5,0,0,6
2598,30,40,5,5,0,0,6
2599,0,0,0,0,0,1,6
2600,15,0,0,0,0,1,6
2601,30,0,0,0,0,1,4
2602,40,0,0,0,0,1,6
2603,0,0,1,1,0,1,6
2605,30,0,1,1,0,1,6
2606,40,0,1,1,0,1,6
2607,40,15,1,1,0,1,6
2608,40,30,1,1,0,1,5
2609,0,0,3,1,0,1,4
2610,15,0,3,1,0,1,4
2611,30,0,3,1,0,1,4
2612,40,0,3,1,0,1,6
2613,0,0,4,2,0,1,5
2614,0,15,4,2,0,1,6
2615,15,15,4,2,0,1,6
2616,30,15,4,2,0,1,6
2617,40,15,4,2,0,1,6
2618,0,0,0,0,1,1,6
2619,15,0,0,0,1,1,4
2620,30,0,0,0,1,1,4
2621,30,15,0,0,1,1,6
2622,40,15,0,0,1,1,4
2623,0,0,2,0,1,1,4
2624,15,0,2,0,1,1,5
2625,30,0,2,0,1,1,4
2626,40,0,2,0,1,1,4
2627,0,0,3,1,1,1,6
2628,15,0,3,1,1,1,6
2630,40,0,3,1,1,1,4
2631,40,15,3,1,1,1,5
2632,0,0,4,2,1,1,4
2634,0,30,4,2,1,1,6
2635,15,30,4,2,1,1,4
2636,30,30,4,2,1,1,6
2637,30,40,4,2,1,1,6
2638,40,40,4,2,1,1,6
2639,50,40,4,2,1,1,4
2640,0,0,0,0,2,1,4
2641,15,0,0,0,2,1,4
2642,15,15,0,0,2,1,6
2644,30,30,0,0,2,1,4
2646,0,0,2,0,2,1,6
2647,15,0,2,0,2,1,6
2648,30,0,2,0,2,1,6
2649,30,15,2,0,2,1,5
2650,30,30,2,0,2,1,6
2651,40,30,2,0,2,1,4
2652,0,0,3,1,2,1,6
2653,0,15,3,1,2,1,5
2654,15,15,3,1,2,1,4
2655,30,15,3,1,2,1,6
2656,40,15,3,1,2,1,4
2657,0,0,4,2,2,1,6
2658,15,0,4,2,2,1,4
2659,30,0,4,2,2,1,4
2660,40,0,4,2,2,1,6
2661,0,0,5,3,2,1,4
2663,30,0,5,3,2,1,6
2664,30,15,5,3,2,1,4
2665,40,15,5,3,2,1,4
2666,0,0,1,0,0,0,6
2667,0,15,1,0,0,0,4
2668,15,15,1,0,0,0,4
2670,15,40,1,0,0,0,6
2671,30,40,1,0,0,0,6
2672,0,0,3,0,0,0,6
2673,15,0,3,0,0,0,6
2674,30,0,3,0,0,0,6
2675,40,0,3,0,0,0,4
2676,0,0,4,1,0,0,4
2677,0,15,4,1,0,0,4
2678,15,15,4,1,0,0,4
2679,15,30,4,1,0,0,4
2680,15,40,4,1,0,0,4
2681,30,40,4,1,0,0,4
2682,0,0,0,0,1,0,6
2683,15,0,0,0,1,0,4
2684,30,0,0,0,1,0,4
2685,40,0,0,0,1,0,4
2686,0,0,0,2,1,0,4
2687,0,15,0,2,1,0,6
2689,30,15,0,2,1,0,6
2690,30,30,0,2,1,0,6
2691,40,30,0,2,1,0,6
2692,0,0,1,3,1,0,6
2693,15,0,1,3,1,0,4
2694,15,15,1,3,1,0,6
2695,15,30,1,3,1,0,4
2696,30,30,1,3,1,0,6
2697,30,40,1,3,1,0,6
2698,40,40,1,3,1,0,6
2699,40,50,1,3,1,0,6
2700,40,40,1,3,1,0,6
2701,40,50,1,3,1,0,4
2702,40,40,1,3,1,0,6
2703,50,40,1,3,1,0,6
2704,40,40,1,3,1,0,4
2705,50,40,1,3,1,0,6
2706,40,40,1,3,1,0,4
2707,40,50,1,3,1,0,6
2708,40,40,1,3,1,0,6
2709,40,50,1,3,1,0,6
2710,40,40,1,3,1,0,4
2711,50,40,1,3,1,0,4
2712,40,40,1,3,1,0,4
2713,50,40,1,3,1,0,4
2714,40,40,1,3,1,0,6
2715,40,50,1,3,1,0,6
2716,0,0,2,4,1,0,6
2717,15,0,2,4,1,0,4
2718,15,15,2,4,1,0,4
2719,30,15,2,4,1,0,4
2720,40,15,2,4,1,0,6
2721,0,0,3,5,1,0,6
2722,15,0,3,5,1,0,5
2723,30,0,3,5,1,0,6
2724,40,0,3,5,1,0,4
2725,0,0,0,1,1,1,4
2726,15,0,0,1,1,1,4
2727,15,15,0,1,1,1,6
2728,15,30,0,1,1,1,4
2729,30,30,0,1,1,1,4
2730,30,40,0,1,1,1,6
2731,40,40,0,1,1,1,6
2732,50,40,0,1,1,1,4
2733,40,40,0,1,1,1,4
2734,50,40,0,1,1,1,6
2735,0,0,0,3,1,1,4
2736,0,15,0,3,1,1,6
2737,15,15,0,3,1,1,4
2738,30,15,0,3,1,1,6
2739,30,30,0,3,1,1,6
2740,40,30,0,3,1,1,6
2741,0,0,1,4,1,1,6
2742,0,15,1,4,1,1,4
2743,15,15,1,4,1,1,4
2744,30,15,1,4,1,1,4
2745,40,15,1,4,1,1,6
2746,40,30,1,4,1,1,4
2747,0,0,2,5,1,1,6
2748,0,15,2,5,1,1,4
2749,15,15,2,5,1,1,4
2750,30,15,2,5,1,1,4
2751,40,15,2,5,1,1,6
2752,0,0,0,1,1,2,6
2753,0,15,0,1,1,2,4
2754,15,15,0,1,1,2,6
2755,30,15,0,1,1,2,6
2756,40,15,0,1,1,2,4
2757,40,30,0,1,1,2,6
2758,0,0,1,2,1,2,6
2759,15,0,1,2,1,2,4
2760,30,0,1,2,1,2,6
2762,0,0,2,3,1,2,6
2763,0,15,2,3,1,2,4
2764,15,15,2,3,1,2,6
2765,30,15,2,3,1,2,6
2766,40,15,2,3,1,2,4
2767,0,0,2,5,1,2,4
2768,15,0,2,5,1,2,4
2769,30,0,2,5,1,2,6
2771,0,0,0,0,0,0,4
2772,0,15,0,0,0,0,4
2773,15,15,0,0,0,0,4
2774,30,15,0,0,0,0,4
2775,30,30,0,0,0,0,6
2776,40,30,0,0,0,0,4
2777,0,0,1,1,0,0,4
2778,15,0,1,1,0,0,5
2779,30,0,1,1,0,0,6
2780,40,0,1,1,0,0,4
2781,0,0,3,1,0,0,6
2782,15,0,3,1,0,0,6
2783,30,0,3,1,0,0,6
2784,40,0,3,1,0,0,4
2785,0,0,4,2,0,0,6
2786,15,0,4,2,0,0,6
2787,30,0,4,2,0,0,6
2788,30,15,4,2,0,0,6
2789,40,15,4,2,0,0,6
2790,40,30,4,2,0,0,6
2791,0,0,0,0,1,0,5
2792,15,0,0,0,1,0,4
2793,30,0,0,0,1,0,6
2794,40,0,0,0,1,0,4
2795,40,15,0,0,1,0,6
2796,0,0,2,0,1,0,6
2797,15,0,2,0,1,0,4
2798,30,0,2,0,1,0,6
2799,40,0,2,0,1,0,4
2800,40,15,2,0,1,0,6
2801,0,0,3,1,1,0,4
2802,15,0,3,1,1,0,4
2803,30,0,3,1,1,0,6
2804,30,15,3,1,1,0,6
2805,40,15,3,1,1,0,6
2806,0,0,4,2,1,0,6
2807,15,0,4,2,1,0,5
2808,15,15,4,2,1,0,6
2809,15,30,4,2,1,0,5
2810,30,30,4,2,1,0,4
2811,30,40,4,2,1,0,6
2812,0,0,5,3,1,0,4
2813,15,0,5,3,1,0,4
2814,30,0,5,3,1,0,4
2815,30,15,5,3,1,0,4
2816,40,15,5,3,1,0,4
2817,0,0,0,1,2,0,6
2818,15,0,0,1,2,0,6
2819,30,0,0,1,2,0,6
2820,30,15,0,1,2,0,6
2821,40,15,0,1,2,0,4
2822,40,30,0,1,2,0,6
2823,0,0,1,2,2,0,4
2824,15,0,1,2,2,0,6
2825,30,0,1,2,2,0,4
2826,40,0,1,2,2,0,4
2827,40,15,1,2,2,0,4
2828,40,30,1,2,2,0,4
2829,0,0,3,2,2,0,6
2830,0,15,3,2,2,0,4
2831,0,30,3,2,2,0,6
2832,0,40,3,2,2,0,4
2833,15,40,3,2,2,0,6
2834,30,40,3,2,2,0,6
2835,40,40,3,2,2,0,4
2836,50,40,3,2,2,0,6
2837,0,0,5,2,2,0,6
2838,15,0,5,2,2,0,5
2839,30,0,5,2,2,0,6
2840,30,15,5,2,2,0,4
2841,30,30,5,2,2,0,6
2842,40,30,5,2,2,0,4
2843,0,0,0,0,0,0,6
2844,15,0,0,0,0,0,5
2845,30,0,0,0,0,0,6
2846,30,15,0,0,0,0,6
2847,40,15,0,0,0,0,6
2848,40,30,0,0,0,0,4
2849,0,0,1,1,0,0,4
2850,15,0,1,1,0,0,4
2851,30,0,1,1,0,0,6
2852,30,15,1,1,0,0,6
2853,40,15,1,1,0,0,6
2854,40,30,1,1,0,0,4
2855,0,0,2,2,0,0,4
2856,0,15,2,2,0,0,6
2857,0,30,2,2,0,0,6
2858,0,40,2,2,0,0,6
2859,0,0,2,4,0,0,4
2860,15,0,2,4,0,0,6
2861,30,0,2,4,0,0,4
2862,30,15,2,4,0,0,6
2864,40,30,2,4,0,0,6
2865,0,0,3,5,0,0,4
2866,0,15,3,5,0,0,4
2867,15,15,3,5,0,0,4
2868,15,30,3,5,0,0,4
2869,15,40,3,5,0,0,4
2870,30,40,3,5,0,0,6
2871,40,40,3,5,0,0,4
2872,50,40,3,5,0,0,4
2873,0,0,0,0,0,1,4
2874,15,0,0,0,0,1,4
2875,30,0,0,0,0,1,6
2876,30,15,0,0,0,1,4
2877,40,15,0,0,0,1,4
2878,0,0,1,1,0,1,4
2879,15,0,1,1,0,1,4
2880,30,0,1,1,0,1,6
2881,40,0,1,1,0,1,6
2882,0,0,2,2,0,1,4
2883,15,0,2,2,0,1,4
2884,30,0,2,2,0,1,4
2885,40,0,2,2,0,1,4
2886,40,15,2,2,0,1,4
2887,40,30,2,2,0,1,6
2888,0,0,3,3,0,1,4
2889,15,0,3,3,0,1,4
2890,15,15,3,3,0,1,4
2891,30,15,3,3,0,1,6
2892,40,15,3,3,0,1,6
2893,0,0,4,4,0,1,6
2894,0,15,4,4,0,1,6
2895,15,15,4,4,0,1,6
2896,30,15,4,4,0,1,6
2897,40,15,4,4,0,1,4
2898,0,0,5,5,0,1,6
2899,15,0,5,5,0,1,4
2900,30,0,5,5,0,1,4
2901,40,0,5,5,0,1,4
2902,0,0,6,6,0,1,6
2903,2,1,6,6,0,1,6
2904,3,1,6,6,0,1,6
2905,4,3,6,6,0,1,4
2906,4,4,6,6,0,1,6
2907,5,6,6,6,0,1,4
2908,6,6,6,6,0,1,6
2909,0,0,0,1,1,1,6
2910,0,15,0,1,1,1,6
2911,15,15,0,1,1,1,6
2912,15,30,0,1,1,1,6
2913,15,40,0,1,1,1,6
2914,30,40,0,1,1,1,6
2915,0,0,0,3,1,1,6
2916,0,15,0,3,1,1,6
2917,15,15,0,3,1,1,4
2918,30,15,0,3,1,1,6
2919,30,30,0,3,1,1,4
2920,40,30,0,3,1,1,6
2921,0,0,1,4,1,1,4
2922,15,0,1,4,1,1,4
2923,30,0,1,4,1,1,6
2924,40,0,1,4,1,1,6
2925,40,15,1,4,1,1,6
2926,0,0,2,5,1,1,6
2927,15,0,2,5,1,1,4
2928,30,0,2,5,1,1,4
2929,40,0,2,5,1,1,4
2930,0,0,0,0,0,0,4
2931,0,15,0,0,0,0,4
2932,15,15,0,0,0,0,6
2933,15,30,0,0,0,0,6
2934,30,30,0,0,0,0,6
2935,30,40,0,0,0,0,6
2936,40,40,0,0,0,0,6
2937,50,40,0,0,0,0,6
2938,0,0,1,1,0,0,6
2939,15,0,1,1,0,0,6
2940,30,0,1,1,0,0,6
2941,30,15,1,1,0,0,6
2942,30,30,1,1,0,0,4
2943,40,30,1,1,0,0,4
2944,40,40,1,1,0,0,4
2945,50,40,1,1,0,0,4
2946,40,40,1,1,0,0,4
2947,50,40,1,1,0,0,4
2948,0,0,3,1,0,0,6
2949,15,0,3,1,0,0,4
2950,30,0,3,1,0,0,6
2951,30,15,3,1,0,0,4
2952,40,15,3,1,0,0,4
2953,40,30,3,1,0,0,5
2954,40,40,3,1,0,0,4
2955,50,40,3,1,0,0,6
2956,40,40,3,1,0,0,4
2957,50,40,3,1,0,0,6
2958,0,0,5,1,0,0,6
2959,0,15,5,1,0,0,4
2960,15,15,5,1,0,0,6
2961,30,15,5,1,0,0,6
2962,40,15,5,1,0,0,6
2963,40,30,5,1,0,0,6
2964,0,0,0,1,1,0,6
2966,15,15,0,1,1,0,6
2967,30,15,0,1,1,0,6
2968,30,30,0,1,1,0,6
2969,30,40,0,1,1,0,6
2970,40,40,0,1,1,0,4
2971,50,40,0,1,1,0,6
2972,0,0,1,2,1,0,6
2973,0,15,1,2,1,0,6
2975,30,15,1,2,1,0,4
2976,30,30,1,2,1,0,4
2977,40,30,1,2,1,0,4
2978,0,0,3,2,1,0,4
2979,0,15,3,2,1,0,6
2980,0,30,3,2,1,0,4
2982,0,0,3,4,1,0,4
2983,0,15,3,4,1,0,4
2984,15,15,3,4,1,0,4
2985,15,30,3,4,1,0,6
2986,15,40,3,4,1,0,6
2987,0,0,0,0,1,1,6
2988,0,15,0,0,1,1,6
2989,0,30,0,0,1,1,4
2990,15,30,0,0,1,1,6
2991,15,40,0,0,1,1,6
2992,30,40,0,0,1,1,6
2993,0,0,0,2,1,1,4
2994,0,15,0,2,1,1,4
2995,0,30,0,2,1,1,4
2996,15,30,0,2,1,1,4
2997,15,40,0,2,1,1,6
2998,0,0,0,4,1,1,4
3000,15,15,0,4,1,1,6
3001,30,15,0,4,1,1,4
3002,30,30,0,4,1,1,6
3003,40,30,0,4,1,1,4
3004,0,0,1,5,1,1,6
3005,0,15,1,5,1,1,4
3006,0,30,1,5,1,1,6
3007,0,40,1,5,1,1,6
3008,15,40,1,5,1,1,4
3009,0,0,0,0,0,0,4
3010,0,15,0,0,0,0,4
3011,0,30,0,0,0,0,6
3012,15,30,0,0,0,0,6
3013,30,30,0,0,0,0,6
3014,40,30,0,0,0,0,4
3015,40,40,0,0,0,0,4
3016,50,40,0,0,0,0,4
3017,40,40,0,0,0,0,4
3018,50,40,0,0,0,0,6
3019,0,0,2,0,0,0,4
3021,30,0,2,0,0,0,4
3022,40,0,2,0,0,0,6
3023,0,0,3,1,0,0,6
3024,15,0,3,1,0,0,4
3025,30,0,3,1,0,0,4
3026,40,0,3,1,0,0,5
3027,40,15,3,1,0,0,4
3028,0,0,4,2,0,0,6
3029,15,0,4,2,0,0,5
3030,15,15,4,2,0,0,4
3031,30,15,4,2,0,0,6
3032,30,30,4,2,0,0,6
3033,40,30,4,2,0,0,4
3034,0,0,0,0,1,0,4
3035,15,0,0,0,1,0,4
3036,15,15,0,0,1,0,4
3037,30,15,0,0,1,0,4
3038,30,30,0,0,1,0,4
3039,30,40,0,0,1,0,6
3040,40,40,0,0,1,0,6
3041,50,40,0,0,1,0,6
3042,0,0,2,0,1,0,6
3043,15,0,2,0,1,0,5
3044,30,0,2,0,1,0,6
3045,40,0,2,0,1,0,4
3046,0,0,4,0,1,0,4
3047,15,0,4,0,1,0,4
3048,30,0,4,0,1,0,4
3049,40,0,4,0,1,0,4
3050,40,15,4,0,1,0,6
3051,0,0,0,0,0,0,6
3052,0,15,0,0,0,0,6
3053,15,15,0,0,0,0,6
3054,15,30,0,0,0,0,6
3055,30,30,0,0,0,0,4
3056,30,40,0,0,0,0,6
3057,40,40,0,0,0,0,4
3058,50,40,0,0,0,0,4
3059,40,40,0,0,0,0,6
3060,50,40,0,0,0,0,6
3061,0,0,1,1,0,0,6
3062,0,15,1,1,0,0,4
3063,0,30,1,1,0,0,6
3064,15,30,1,1,0,0,4
3065,30,30,1,1,0,0,4
3066,40,30,1,1,0,0,6
3067,0,0,3,1,0,0,4
3068,15,0,3,1,0,0,4
3069,30,0,3,1,0,0,4
3070,40,0,3,1,0,0,4
3071,0,0,4,2,0,0,4
3072,15,0,4,2,0,0,4
3073,30,0,4,2,0,0,6
3074,40,0,4,2,0,0,4
3075,40,15,4,2,0,0,4
3076,0,0,5,3,0,0,6
3077,0,15,5,3,0,0,6
3078,15,15,5,3,0,0,5
3079,30,15,5,3,0,0,4
3080,30,30,5,3,0,0,6
3081,30,40,5,3,0,0,4
3082,40,40,5,3,0,0,6
3083,40,50,5,3,0,0,4
3084,0,0,5,5,0,0,4
3085,15,0,5,5,0,0,4
3086,30,0,5,5,0,0,4
3087,40,0,5,5,0,0,4
3088,0,0,6,6,0,0,5
3089,0,3,6,6,0,0,4
3090,1,3,6,6,0,0,6
3091,3,4,6,6,0,0,6
3092,3,5,6,6,0,0,4
3093,0,0,1,0,0,1,4
3094,15,0,1,0,0,1,6
3095,30,0,1,0,0,1,4
3096,40,0,1,0,0,1,6
3097,40,15,1,0,0,1,6
3098,0,0,3,0,0,1,4
3099,15,0,3,0,0,1,6
3100,30,0,3,0,0,1,4
3101,40,0,3,0,0,1,4
3102,0,0,4,1,0,1,4
3103,15,0,4,1,0,1,4
3104,30,0,4,1,0,1,5
3105,40,0,4,1,0,1,4
3107,40,30,4,1,0,1,6
3108,0,0,5,2,0,1,6
3109,0,15,5,2,0,1,4
3110,15,15,5,2,0,1,6
3111,15,30,5,2,0,1,5
3112,15,40,5,2,0,1,6
3113,30,40,5,2,0,1,4
3114,0,0,5,4,0,1,4
3115,15,0,5,4,0,1,6
3116,30,0,5,4,0,1,4
3117,40,0,5,4,0,1,4
3118,0,0,0,1,1,1,4
3119,15,0,0,1,1,1,6
3120,30,0,0,1,1,1,6
3121,40,0,0,1,1,1,4
3122,0,0,2,1,1,1,4
3123,0,15,2,1,1,1,4
3124,15,15,2,1,1,1,6
3125,30,15,2,1,1,1,4
3126,40,15,2,1,1,1,6
3127,40,30,2,1,1,1,4
3128,40,40,2,1,1,1,4
3129,50,40,2,1,1,1,4
3130,0,0,3,2,1,1,6
3131,0,15,3,2,1,1,4
3132,15,15,3,2,1,1,6
3133,15,30,3,2,1,1,6
3134,15,40,3,2,1,1,4
3135,30,40,3,2,1,1,6
3136,40,40,3,2,1,1,4
3137,50,40,3,2,1,1,6
3138,0,0,4,3,1,1,6
3139,0,15,4,3,1,1,4
3140,15,15,4,3,1,1,6
3141,30,15,4,3,1,1,4
3142,40,15,4,3,1,1,6
3143,40,30,4,3,1,1,6
3144,0,0,5,4,1,1,4
3145,15,0,5,4,1,1,6
3146,30,0,5,4,1,1,4
3147,30,15,5,4,1,1,5
3148,40,15,5,4,1,1,6
3149,40,30,5,4,1,1,6
3150,0,0,0,1,2,1,6
3151,15,0,0,1,2,1,6
3152,15,15,0,1,2,1,6
3153,30,15,0,1,2,1,5
3155,40,30,0,1,2,1,6
3156,0,0,1,2,2,1,6
3157,15,0,1,2,2,1,4
3158,30,0,1,2,2,1,6
3159,40,0,1,2,2,1,4
3160,40,15,1,2,2,1,6
3161,0,0,2,3,2,1,4
3162,0,15,2,3,2,1,6
3163,0,30,2,3,2,1,4
3164,15,30,2,3,2,1,6
3165,30,30,2,3,2,1,4
3166,40,30,2,3,2,1,6
3167,0,0,4,3,2,1,6
3168,0,15,4,3,2,1,6
3169,15,15,4,3,2,1,4
3170,30,15,4,3,2,1,4
3171,30,30,4,3,2,1,6
3173,0,0,0,0,0,0,4
3174,15,0,0,0,0,0,4
3175,30,0,0,0,0,0,5
3176,40,0,0,0,0,0,4
3177,0,0,1,1,0,0,4
3178,0,15,1,1,0,0,6
3179,15,15,1,1,0,0,6
3181,15,40,1,1,0,0,6
3182,30,40,1,1,0,0,6
3183,40,40,1,1,0,0,6
3184,40,50,1,1,0,0,6
3186,15,0,1,3,0,0,4
3187,30,0,1,3,0,0,6
3188,40,0,1,3,0,0,4
