,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"6w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"6n,",5,b28,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"5n,",4+q2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,r28,f;1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,s27,f-2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"6d,",5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"6w,",6,b29,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"c4+*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4n,",5,b27,f+1,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4x,",6,b28,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4+q2,z2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"6n,",5,b27,f+3,m2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"5n,",6,b28,f2,b3,b2,u3,y-3,s-1,v1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"4d,",4+q2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"c4n,",6+w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"5d,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4+,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"5d,",4,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,b37,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"6d,",6,r17,f+3,m3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"4q3n#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6,r29,f3,b2,u3,b-1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"6d,",5+,b2,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"4^*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"6n,",6,b28,f1,r2,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"6n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"c4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6,r27,f+2,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"4n,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"4d,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4q29,f+3,b3,b-;2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,6,r27,f+3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"6n,",6,b29,f2,r+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,6q29,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"6d,",5q29,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"6d,",4+q2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6,s27,b+3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4q37,b3,s3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,6,f28,f1,f2,u3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"4n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"4n,",6,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"6d,",4,b38,f2,f1,f2,r2,f1,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6,b37,s3,b1,f@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,f1,j3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"5n,",4,b38,s3,s3,s2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"4n,",6,b38,b2,s3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4,b27,f1,r1,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"6w,",5,b38,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
