,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
72,4,f38,b37,s+29,f2,v27,b3,z17,f-39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"6w,",4,s37,s39,s38,s38,s38,s19,f+38,b3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6,s28,f+38,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"4x,",5+,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"4w,",5,f39,s19,f17,f+38,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"6d,",4,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"6n,",6,b39,s39,b38,s39,b28,s38,b18,f39,b37,s37,s+19,l39*,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"4w,",4,b38,y17,f+38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6,b38,y17,r-38,m2,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4,f18,f28,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,c5,b28,b29,b+38,b37,i^17,r-39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,6,s27,f-1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"4n,",4,s39,b29,f18,f18,f+39,b2,z17,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"6x,",5,s29,f38,s39,b19,f39,b28,f39,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6,f29,f39,s38,s38,s37,s37,i29,f3,z37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,5,s28,f37,s37,b+38,b2,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4,s38,b18,f19,f38,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4+,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4+,b27,b-18,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,5+,b27,i^37,s-2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4,b28,f+38,b1,v1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"6w,",5,b29,f38,b37,s18,f19,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"6w,",4,b28,f28,f38,s37,y17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,5,b29,f19,f27,f+39,b1,v19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"4x,",4,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"6w,",6,b29,f18,f18,f18,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,6,f38,s37,y+17,f-3,z3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4+,f3,z29,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,4+,b28,h18,f+39,s3,z17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4,b1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"6d,",6,f+29,b2,v2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,4,s27,b38,s37,s39,s38,b19,f17,f18,f+29,f37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,f28,b+39,m1,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"6d,",4,s38,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4w,",6,b28,f28,s29,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"4w,",4+,s3,z1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,4,r27,f+39,m3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"4d,",4,s39,b38,s38,b39,s29,f18,f29,b28,b29,b39,s37,s+38,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,
112,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6,f38,s+39,b3,z1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"6n,",5,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4,b;27*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,6,b38,s37,s+3,z1,v2,v39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4,b38,f38,b38,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,6,b27,f+18,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"6n,",6,s+38,b2,z18,l1,o27*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,5,s27,f+;29,l3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"5n,",6,s+18,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,4,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"5d,",5,f29,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"4d,",4,s38,b19,f17,f+39,b1,v18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,6,s29,f+39,m2,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,c5,b38,b28,b38,b38,s37,b37,s29,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6,s29,f37,s37,f+19,f1,v29,b38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6,f38,b38,s37,s18,f19,f28,s38,b28,f19,f27,f+28,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,6+,b27,f-18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,4+,b37,i19,l3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,5+,f2,v37,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,4,b29,f38,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4,f18,f28,s39,b28,s19,f19,f39,b39,s28,s39,s37,s38,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,6,s27,f+39,m3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"4g,",4,s+19,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,5,s28,b38,s39,b38,s39,b18,f+39,b3,z18,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6,f29,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"4n,",5+,b1,v38,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,6,f28,f39,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4+,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,5,b27,f+39,b1,v17,f-3,z3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,6,b28,f19,f18,f+3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,6,b28,f+17,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,4,b28,f39,b37,s38,s39,s39,f39,f29,f37,s37,b18,f19,f17,f+29,b3,z29,f2,v3n#,,,,,,,,,,,,,,,,,,,,,
149,4,f28,s19,f28,f+19,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,4,b38,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,6,b39,f28,b18,f19,f28,b19,f18,f+3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"4+n,",4+,b28,h28,b38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"6d,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"6d,",4,s+37,s1,v18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,6,s29C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,6,f27,f19,f17,f+39,s3,z17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,4,r28,f38,s38,b39,b19,f29,f29,b29,f;37,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"6n,",4,f39,b3,j=+18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"6n,",5,b29,s38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,4,b28,f19,f18,f+39,m3,o39,b18,h#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,4,f29,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"4d,",5,f28,f39,b38,f18,r29,f18,f18,f+38,b2,z18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"0e,",4+,f28,i#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4,b29,f28,f28,s+37,b1,v38,b1,v27,b;39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,5,s29,f38,b19,f39,b39,b19,f19,f38,s38,b18,f38,b29,f+19,f3,z3n#,,,,,,,,,,,,,,,,,,,,,,,,
166,4,b28,f27,f29,f29,f39,b39,s19,f18,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"5d,",4,s37,b39,s38,b+38,m1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,6,b27,f+38,m3,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"6n,",5,r29,f19,f18,f+39,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,6,f28,f39,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,6,s29,b39,s37,b+37,b3,z18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,4,s37,b39,s39,b39,s38,b19,f18,f39,s39,b28,f+38,b2,z^37,m-3,o17*,,,,,,,,,,,,,,,,,,,,,,,,
176,4,f18,f+39,m3,o39,l1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,5,b29,f38,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,6,s1n3#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,6,b27,f+1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"4n,",4,b18,r18,f17,f+39,b3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"6w,",6,b28,s29,f38,s18,f19,f29,b28,s18,f19,f29,b39,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,
184,4,b38,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"4x,",5,b17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,6+,s2,z18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"4n,",6,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,6,s39,b28,s+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"5d,",4,f39,b28,f+39,m17,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"6d,",5,f+38,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,5,s28,f38,s37,b19,f39,b+19,r2,v3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"4w,",5,s29,f38,s39,b18,f18,f18,f+39,b37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"6x,",6,f39,b19,f28,f37,s39,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"4w,",5,f29,f2,j=+373,b1,v19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,4,s37,f-19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,5,s39,b39,s29,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,5,s38,b39,s37,b37,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,4,s39,f38,s38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"6d,",4,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,4,s27,f-18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"6+w,",5,b28,f39,b18,f18,f38,s39,b18,f;37,b+18,l29*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"4n,",4,s29,b19,f19,f38,s39,b39,s19,f18,f+39,b2,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,4,f19,f27,f-38,m2,o27,f29,f27,f+19,f17,h^37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,4+,b28,h1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,4,s38,b29,f38,b39,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,4,f29,b29,s39,b39,s39,b28,s38,b29,s17,f+39,b38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,6,f27,f-38,b3,z18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,c4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"R,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,f28,b3,s3,b1,f1,u1,r-3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,4,b28,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"4x,",4,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,6,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,4,b38,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"4n,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,6,f28,f3,b3,b3,s2,b2,b2,b3,s3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"6n,",5,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,4,b18,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,6,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,6,f28,f1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"4d,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"4n,",4,b37,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"6x,",6,b17,f1,f1,f1,f1,f1,f;3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,6,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"6w,",5,b17,f1,f2,f2,f3,s3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,6,f17,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,4,f19,f1,f1,f1,f1,f1,f1,f1,f3,b2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,4,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,6,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,4,b28,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,5,f28,b1,f1,f2,b1,f+1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,4,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,4,b28,f2,b2,f1,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,4,r38,f1,f2,f2,b3,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,6,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
