,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,c4,s37,b-19,l3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,f28,b28*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,r28,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"6w,",6,b27,f18,f19,f28,f18,f18,f19,f39,b39,s18,f39,s38,b38,s38,b38,f18,f1w#,,,,,,,,,,,,,,,,,,,,,
5,4,b37,f19,r38,f+38,m2,o29*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"6d,",4,f19,f+37,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,r27,f-37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,s38,f39,s37,s+3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,s38,b38,s38,b37,s38,b;29,f18,f18,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,b27,f+39,m2,o37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,f29,f29,b18,f29,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4+,b2,v38,b3,z2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6,b27,f+38,m1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,b37,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,b38,f28,f18,f17,f+38,m3,p37,s-1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"4w,",4,b29,f39,b38,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4+,f1,v38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,b27,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,s28,b38,s38,b39,s38,b39,s28,f39,s39,f39,s37,b+19,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,b28,f39,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,b29,f27,f38,b29,f27,s39,s3+38,s3,z19,f17,h;38,b37*,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"6w,",5,b28,b19,l2,j39,m1,o17,r3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"6n,",5+,b;37,b-18,l2,p39,b39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,f29,f38,b39,s38,b18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"4d,",6,b38,s38,b39,s29,f39,b18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4,r28,f+39,m17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4,b37,f39,f38,s38,f19,f18,f18,f28,b29,f27,b38,s37,s39,y17,r+39,b;18*,,,,,,,,,,,,,,,,,,,,,,,
32,"6x,",4,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"4n,",4,s38,b19,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4+,b3,v18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4+,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"4d,",5,s28,f38,s38,f39,b28,f18,f39,b29,s39,f39,s39,b19,f28,f38,s37,b1n@,,,,,,,,,,,,,,,,,,,,,,
38,6,m28,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,f38,s37,b39,f39,b18,f19,f18,f+39,b2,z19,l3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"6+w,",5,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,b37,s38,b38,f+38,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"c6w,",4,b38,s38,b19,f18,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"5d,",6,b29,f39,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"4w,",4,b38,s39,f37,b19,f19,f+39,b39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6,b39,s37,b39,s37,b39,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"5d,",4,b37,s38,b37,s39,b29,f18,f37,s19,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"6n,",5,s+2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"6n,",4,s37,s39,f29,f18,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"6d,",5,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,6,f29,b39,s18,f19,f38,b39,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"6w,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"4n,",5,b38,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6,b29,f38,b38,s38,b18,f18,f38,s19,f17,f+3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4,b37,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6,b;27,f+38,b2,v19,f3,z37,s18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"6n,",6,s29,f28,f28,f19,f17,f29,s38,b19,f18,f17,r19,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,6,s38,b29,s37,s39,f37,b38,s38,b18,f18,f38,s39,b19,f39,b39,s29,f18,f1w@,,,,,,,,,,,,,,,,,,,,,,
59,"4x,",4,s38,b19,f19,f17,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6,b29,f38,b29,s19,f29,f+38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"4+*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"4w,",5,b29,f38,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"4d,",4,b37,s+39,b3,z39,m3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6,b39,s37,s3,z18,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6,s28,f18,f17,f+38,b;38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5,f37,b38,f38,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"4n,",5,s28,f38,s39,b28,f29,b19,f29,b19,f18,f28,b18,f18,f28,f39,s39,b19,f18,f+38,s3n#,,,,,,,,,,,,,,,,,,,
69,4,s39,f38,b19,f39,s37,b+18,l19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"4w,",6,s28,f+39,s1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6,r3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
