,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,r2,f1,f3,b3,s3,f1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"5d,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"5d,",6,b2,f3w!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,b2,f+3,b1,h1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"5d,",5,b2,b2,f1,f1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"6n,",5,y1@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,b2,b1,b1,f1,f2,b2,z3,m2,o1w#,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,f2,f2,b2,f2,b2,f1,f1,f2,b2,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,
10,5,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,f3,s2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,f2,b2,b2,f1,f1,f2,b2,b2,f1,f1,f3,s3,s3,b3,bd,f1,f1,f1,f1,f3w#,,,,,,,,,,,,,,,
13,"4w,",5,b2,b2,f3,y1,f-1,r3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4w,",4,f1,f3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"4d,",5,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
