,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1532,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,"c4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,"6d,",4,b29,f3,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,4,f19,f3,b2,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,"4w,",5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,5,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,4,b38,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,4,f28,f2,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,6,f39,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,"6d,",4,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,"6d,",5,b28,b3,s3,f3,s2,f+3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,4,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,6,b27,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,"6d,",4*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,4,b37,f2,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,4,f18,f2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,"6w,",4,f28,f3,b3,b3,b1,f3,b3,s2,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,"4n,",4,b37,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,"4n,",4,b38,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,"4w,",4,f28,f3,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,"4n,",6,f29,f3,s3,f+1,f3,z3,s-1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,6,b19,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,4,b28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,4,b18,f3,s2,f+3,b3,i3,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,4,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,6,r28,f+3,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,"6w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,6,b37,b3,b3,b3,f3,b3,b3,b1,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,"6n,",4,f38,s3,s+2,b2,v2,b3,z3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,"6d,",4,b39,b2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,6,r18,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,5,s29,b3,b2,f3,b1,f1,f1,f2,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,4,s28,f3,b3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,6+,s3,z2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,4,s39,f1,f1,r2,b3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,"4x,",6,b17,f1,f2,b1,r1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,4+,s3,i1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,4,f17,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,"4n,",4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,"6d,",4,f29,f3,s3,f1,f1,r2,b+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,"4d,",4,b38,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,5,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,"4w,",4,b37,b3,b2,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,"4n,",6,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,4+,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,6,s29,b3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,6,r29,f+3,s3,z1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,4,f18,f2,s3,b3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,4,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,"4n,",5,f28,f1,f3,s2,f+1,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,5,r28,f1,f3,b3,s2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,"6n,",6,b28,f2,f1,r1,j=+3,m2,o2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,4,b39,b3,b3,b2,f1,f2,f+3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,c4,r38,b3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,"4n,",6,f28,f3,b3,f3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,"6d,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,4,s28,f3,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,"c4w,",6,b37,b3,b3,s3,s+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,6,f27,f+3,b1,v@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,"4+w,",4,f;1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,c6,r29,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,6,s38,b3,b1,f1,f2,b2,b1,r3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,"6+n,",4,b38,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,4,r28,f1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,4,s37,s3,s3,b3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,c5,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,6+,f28,h1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,5+,r1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,6,r28,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,"4d,",4,b37,b3,b3,b3,s1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,"6n,",6,b29,f1,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,6,s28,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,4,r27,r+3,b3,z#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,4,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624,5,s28,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,6,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,"6n,",6,b27,b1,r3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,"4n,",4,b29,f1,f2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,4,r18,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,4,s39,b3,s3,b3,b1,f2,b2,b3,b3,s3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,4,f18,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,6,l1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632,"4w,",6,b29,b2,b3,b3,b1,f1,f3,b3,b3,f3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,6,r37,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,5,s28,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,"4d,",5,b27,f2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,4,f28,f1,f1,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,"6n,",5,f;3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,4,f28,f1,f3,s3,f1,r2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,"6x,",4,b39,b3,f3,b3,b3,b1,f2,f3,b3,s3,b1,f1,f1,f1,f1,f3,b3,b1w@,,,,,,,,,,,,,,,,,,,,,,,
1640,4,r28,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,"6d,",4,b28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,"4d,",6,b37,b1,f3,b3,b3,b3,b3,b3,s3,b1,f1,f3,s3,b1,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,"4d,",6,b37,b3,b2,f2,f3,b1,f1,f1,f2,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,5,s38,u+3,s-3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,4,r29,f3,s3,f3,s3,s1,f1,f2,b3,b1,f1,f3,b3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,6,r29,f3,s3,f+1,l2,o2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,6,s39,b1,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,4,s38,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,6,b29,b3,b3,b3,s3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,"4n,",5,f38,b2,f1,f1,f2,b2,b3,b3,b2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,"6w,",5,r27,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,c6,f27,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,4,r39,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,6,s28,y1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,4,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,5+,s38,i3,f1,v2,f3,z#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,"4n,",5,b38,b2,f3,b3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,"6n,",4,f29,b3,s1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,"6d,",4,b38,b1,r1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,6,b29,f1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,6,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,6,s28,f3,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,c6,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,"4n,",6,b19,f3,b2,b3,b3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,4,b39,b;3,b2,f1,r1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,"6n,",5,f29,f1,f2,f3,b3,b3,s3,s1,f3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,5,s38,b+3,s1,u-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,6,s28,b+1,r1,v3,m3,p2,l2,o2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,"6w,",5+,b3,z1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,5+,s2,z3,m3,t3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,4,s39,f1,f3,b2,f2,f1,r3,b+3,s3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,"6+d,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,"4d,",4,b29,f3,b3,b3,b3,b3,b3,b3,b1,f1,f1,f2,b3,b3,b3,b3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,
1675,"4n,",4,r27,r+3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,"6d,",4,b38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,"c6d,",6,b38,b1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,"4+n,",4,b19,f1,r2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,"6+w,",4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,"4d,",4,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,6,s2,j=3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,6,f29,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,6,s38,b3,b3,b1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,4,s28,f1,f1,f+3,m2,o1,r1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,4,r18,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,6,r28,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,6,s28,f1,f1,f1,f2,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,"6d,",4,b37,b3,b3,s3,s+3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,"4w,",4,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,"6d,",6,b+37,s3,z3,z=1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,4,s3,j2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,"6d,",6,b29,f3,b3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,"4n,",4,b38,b1,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,"4n,",c6,b18,f+3,m2,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,"6n,",5,b38,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,"4n,",6,b29,f3,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,4,s37,b+1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,6,s29,f3,b2,f1,f1,f1,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,6,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,5,s27,r-2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,"c6d,",6,b29,f+1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,4,s27,s-1,f1,v^3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,6,s27,f+1,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,6,r39,f3,b3,f3,s2,f1,f1,f1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,"6n,",5,r28,b+1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,6,r2,j=+1,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,"6d,",6,b39,b3,b3,b2,f1,f1,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,6,r3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,6,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,5,s29,f1,r3,b-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,4,r29,f3,s2,f3,s3,b3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,c6+,f2,v1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,6,s38,b3,s3,b3,y3,y-3,s-1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,"4x,",5,b28,f1,f2,f+3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,4,f28,b+3,s3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,4,s38,f+1,l2,o3,b3,y3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,4+,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,5,s37,s3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,"6n,",5,s37,b3,b2,f1,f1,f3,s3,b3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,6,r29,f;1,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,6,s28,f+1,f1,v3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,"5n,",4,s38,b3,s3,b3,s3,b3,s3,f1,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,4,f19,f+3,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,c6,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,6,r29,f3,b3,s3,b3,s3,b3,b3,b2,b3,b2,b1,f2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,6,s38,b+3,s1,v^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,6,f38,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,"6d,",6,b28,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,"4n,",6,b28,f2,b3,b3,b3,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,4+,s3,z1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,"4n,",5,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,6,r39,f3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,"5d,",4,f18,f2,s3,b3,b3,b3,b3,b;2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,"4n,",4,f38,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,"4n,",4,b37,b2,f3,b3,b3,b3,b3,b3,b2,f2,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,"6n,",6,b29,b2,f+3,s3,z3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,4,f28,f1,f2,f3,b3,b3,b3,s1,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,"6d,",6,b39,b3,b3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,5,s37,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,4,f18,f3,s3,b1,f2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,"6w,",5,s38,b3,b2,b3,b2,f3,b3,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,"4w,",6,b37,b1,r1,f1,f1,f1,f2,f3,b3,f1,r1,f3,b2,b2,f3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,
1753,"4n,",4,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,6,b28,f3,b3,f1,f3,b3,b3,b1,f1,f1,r3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,6,f37,b3,b3,b3,b1,f1,f1,f3,b3,b3,b3,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,4,f38,b3,b3,f3,b3,s3,b3,b3,b3,b1,f3,b3,b3,s2,f3,b1,f1,f1,f3,b3,b3,b1,f1,f1,f1,r2,f1,f1,f3,s3,s3,s1,f3,b3,b1,f1,f3,b3n@,,,,
1757,5,b28,f1,f1,f1,f2,f3,b3,f3,b3,f3,b3,s3,b3,b3,b2,b1,f1,f1,f3,b3,b3,b3,b1,f1*,,,,,,,,,,,,,,,,,,
1758,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,4,b38,s3,b3,s1,f1,f1,f2,b3,b3,b3,b3,s2,f1,f1,f1,f2,b+3,b3,k=3,b1,r1,f1,f2,b3,b3,b1,f3,b3,b3,b2,f1,r2,b+3,b2,v1*,,,,,,,
1760,4,f18,u2,b+3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,6,f17,f1,f3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,4,f17,f1,f3,b2,b3,s3,b1,f1,f2,b3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,c4,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,c4,f18,f1,f2,f+3,b1,v1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,"4x,",4,b38,b1,f1,f1,f1,f3,b3,b3,b1,f1,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,6,b18,f3,b1,f1,f1,f2,b2,f2,b2,f3,s3,b3,b3,b3,s2,f3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,
