,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
55,4,f28,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4,b29,f2,f1,f3,b2,b3,b3,b3,b3,b3,f3,b3,b1,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6,b28,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"6d,",5,f28,b3,b3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4,b28,f+1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"5d,",6,f38,b3,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4,s37,s+1,l3,p3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"6d,",6,f28,f2,f2,b2,f1,f1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"6d,",4,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"6n,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"4n,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"6n,",6,b38,b3,f3,b3,f3,f3,b3,f1,f2,f3,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4+,b37,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4,f18,f3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4,s3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"6n,",6,f17,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"6d,",4,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"6n,",5,f18,f3,b3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,6,f28,f3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,6,b38,b3,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,c6,f28,f2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"6n,",6,f18,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"4x,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"6n,",4,f28,b3,s2,f+3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"6n,",6,f27,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"4n,",4,b27,f3,b3,b3,b3,f1,f1,f3,b3,b2,f3,b3,s3,f3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,
87,5,f18,f2,f3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4,b37,y3,s1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4,f29,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4,b37,f3,b2,f3,b2,f3,s1,f+2,b3,z^2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,6,b28,f3,b3,f2,f3,b3,b1,f3,b3,b3,f1,f1,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4,b38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"6n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"6w,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"c4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"6n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6,b38,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"6n,",6,b28,f3,s3,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5,b38,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"6n,",5,f17,f3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,4,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5,b28,f3,b3,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"4n,",4,b38,b2,f1,f3,b2,b3,b3,f3,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5,b29,b3,b3,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4d,",4,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,f28,f+3,s2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"4n,",4,b38,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"6n,",4,f38,b2,f1,f1,f3,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6,b18,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"c6n,",4,f38,b3,s2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"6w,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"4w,",6,b28,f3,b1,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,4,b28,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"4n,",6,b28,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,c4,b38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"4d,",4,f28,f3,b3,b3,f3,b3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,4,b38,b1,f1,f+3,s2,r1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6,s27,f+3,b1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"6d,",4,b37,b3,s3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
