,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"6n,",4,b38,f2,f1,b1,f3,f3,b3,f2,r1,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"c4n,",6,f28,f1,f2,f+3,s1,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"6d,",4,b18,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4d,",5,f37,b3,f3,b2,s1,f3,r1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,b17,f1,s2,y+1,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"6n,",4,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,b28,f3,b2,f1,f1,b1,f1,b1,f3,f3,b2,s2,f1,b1,r1,z+3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,r18,f3,b2,f1,f2,b1,f1,b1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,b19,f3,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"c6d,",4,b37,f1,l2,o=+3,b2,z^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5,f39,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,b27,f3,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"6n,",6,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"4n,",4*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"5d,",4,s39,f+1,l#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,c6,b38,f1,l1,o-2,l3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,f37,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"4d,",5,b37,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,b38,f3,f3,f2,f2,f1,s3,b3,f1,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
