,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
52,"6d,",6,b2,f2,b2,f3,b2,f2,f1,f1,f3,f2,b1,f1,f1,f3,b2,f3,b2,y2,b1,f1,v^2*,,,,,,,,,,,,,,,,,,,,,,,
53,5,b2,f1,f2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6,s3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4,b1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"c5d,",6,f2,b2,f3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"6w,",6,b1,f2,b2,f3,b2,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5,f!#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6,b1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"4x,",c6,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"4n,",5,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"6d,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4,f2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4,b1,f2,b1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6,f1,f1,f3,b+3,s3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6,b2,f+1,f2,v^3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5,b2,f2,f1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6,b2,f3,b2,b1,f3,b3,b3,b3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"6d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6,r2,y3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6,b2,f3,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4,b1,r3,f3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"4x,",6,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6,r2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"4n,",6,f2,f3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4,b3,b3,b2,f1,f3,b1,f3,b2,b2,f1,f2,f3,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"6n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,5,b2,f3,b2,f3,b2,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"c6n,",5,f2,b3,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,6,b2,f3,sn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,6,f2,f1,f2,f3,b1,f3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,5,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4,s1,u1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6,b1,f3,b2,f1,r2,f+3,m2,o1,f2,v^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"6n,",5,f2,f2,b3,f3,b2,f2,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"6n,",5,b3,b1,f2,f+3,s3,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4,b2,f1,f2,f;3,b2,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,c6,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"6n,",5,f2,f1,fx#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4,f1,f+3,m1,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,6,f2,f2,b2,f3,b1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,5,bw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"6n,",5,f3,b1,f+1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"4d,",6,f2,u2,un#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"6w,",6,f2,f3,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"6w,",4,f3,b3,bw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5,b3,f1,rd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4,r2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5,b2,f3,b2,f2,f2,b3,b2,f2,b2,f3,b1,rd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,6,b2,fw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5,b1,f2,f1,f3,b2,f2,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,6,b1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"6n,",4,b2,f2,f3,b1,f3,f2,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"4w,",4,f1,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"6d,",4,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,b2,f1,f2,f1,f2,f2,b2,f3,b1,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,6,f2,b1,f3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
