,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,f2,b2,s2,f3,b2,b1,f3,b2,f3,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,
2,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4+w,",4,f2,f2,f2,u2,b+3,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"6n,",4+,b2,z2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"6n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4d,",4+,b2,v1,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"6d,",6,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,f2,f3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4n,",6,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"6d,",4,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"4n,",5,b2,f3,s2,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,b2,b3,s2,f3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,b2,f3,s2,f3,b1,t2,b2,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,b2,f2,b3,b2,b2,f3,b2,s2,s3,b2,b;3,s3,s2,b2,f3,b3,b2,f2,f2,f2d@,,,,,,,,,,,,,,,
21,5,b2,f1,f2,f2,b3,b3,b2,f1,r2,u+3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,
22,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"4d,",5,b2,b3,b2,s3,b2,f2,f2,b3,b3,b2,b3,s3,b;2,f1,r2,f+3,b#,,,,,,,,,,,,,,,,,
24,"6n,",6,b2,b2,b2,f1,f3,s3,s-2,s-2,l2,o1,r1,v3*,,,,,,,,,,,,,,,,,,,,,,
25,"4n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"4n,",6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"4d,",4,b3,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"4n,",5,f2,f1,f3,b3,b;2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4,b3,f3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6,f2,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"6w,",4,b2,f3,b2,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6,b2,u3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6,f2,f3,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"6d,",6,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6,s2,f+3,s2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,s2,u3,s-3,z1,t#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"4d,",4,b3,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"6n,",5,f3,f3,b3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6,s2,u2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,6,f2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,r2,f2,b2,f2,f2,f2,f2,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"6d,",4,b2,f2,f2,b2,f1,f2,b2,b2,b2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,
51,"4w,",5,f2,b2,f1,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"6n,",6,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"6w,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"4n,",4+,b2,v3,m3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"6d,",4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"6w,",4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"6n,",5,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"6n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"6n,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"6w,",6,f2,b3,b2,s2,f+2,b2,v3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"6+d,",4+,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"6n,",6,b2,f2,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4,b3,f2,f2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"4n,",4+,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"6n,",5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"4d,",4,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"6n,",5,f2,f2,b2,f3,b3,f2,s2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"4d,",5,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"4n,",5,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,6,b2,f1,r2,f+3,s2,f-1,l1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"4+w,",4,f2,b2,f3,b3,b2,b3,b2,f2,f2,b2,b2,s2,f1*,,,,,,,,,,,,,,,,,,,,,
82,4,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"6w,",6,b2,f1,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"4d,",4+,b2,z2,f1,v2,f2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,6,b2,f3,b;2,s3,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"4n,",4,b2,f3,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"6n,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"4d,",5,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"4w,",6,f1,f2,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"4d,",6,f2,b2,f3,b2,f2,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,6,s1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,5,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4,r3,b2,s2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,6,f2,f3,b2,f2,b3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6,b3,b2,f3,b2,f+1,f1,u2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,6,f2,f1,f2,f1,f3,b3,b2,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4,f2,s2,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"4n,",5,f3,b2,b2,f2,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,4,r3,f3,b2,f3,b3,s3,s2,f1,f2,f2,b3,s2n@,,,,,,,,,,,,,,,,,,,,,,,
102,"4n,",6,f2,f2,f2,f1,f2,f1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"V,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"4d,",4+,b2,v2,f-2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"6d,",6,b1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"4n,",4,b2,b2,f2,b2,f2,f2,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4,r3,b2,b2,b2,f2,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,f2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
