,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
17,"4n,",6,b38,b38,b28,f+18,f17w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"6w,",4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,b38,b39,b38,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,f1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,r28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"5n,",5,b38,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"6d,",5,b27,f18,f29,f!2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"6w,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4,b39,b38,b38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,b28,b28,f18,f28,f38,b;38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,f19,f28,b38,f28,b29,f18,f19,f18,f18,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"4n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4,f28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6,f29,f17,f28,f19,f28,f19,f29,b17,f18,f39,b37w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"6w,",4,f29,f38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"4w,",5,b38,b38,b29,f38,b29,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"4n,",5,f18,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"4n,",5,b39,f39,b37,s39,b19,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4,f29,f38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"4n,",4,b37,s39,b38,b39,b39,b39,b29,f17,f19,f17,f18,f29,b37,b38,s28,f39,s18,u3n@,,,,,,,,,,,,,,,,,,,,,,,,
45,6,b37,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,c6,f18,f17,f19,f38,b38,b19,f27,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"6n,",5,f@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"5n,",4,b39,b18,f18,f19,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4,f29,f28,f28,f39,b38,b38,b19,f28,f38,b28,f18,f18w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4,s29,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4,f29,f28,b39,b37,s39,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"6d,",6,b28,f38,b38,f38,b28,f;17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"4x,",6,f27,f+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6,s28,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"4w,",4,b37,b29,f28,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"6n,",5,b38,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,r27,f+17,f3,z37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6,l38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,r29,f18,f17,f28,b29,b18,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6,f29,f38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4,f29,b28,b38,b29,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"6w,",5,b29,b27,b39,b18,f18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"6d,",5,f28,f29,f18,f18,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4,b19w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4,r29,f38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"5n,",4,b37,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"c6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,5,f19,f19,f27,b29,f18,f29,f38,b38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"4d,",5,f29,f18,f18,f18,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6,f28,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4,r;17,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"4n,",5,b39,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"4w,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"6n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"6n,",5,f19,f27,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,5,b28,f19,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"5n,",5,f17,f28,f39,b38,f38,b38,y17,f-19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"4w,",4,b38,b27,f17,f28,f38,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"4n,",5,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"4d,",5,b37,b39,f38,b28,b;37,b38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"4d,",5,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,6,f38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,6,r39,b38,b39,b29,f17,f28,f28,b29,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"4n,",5,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,c6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"5d,",6,f27,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"6d,",6,b28,b28,b39,b38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,5,b39,b28,s28,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"4d,",5,b38,b29,f39,s28,f+39,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4,f17,f29,b39,b37,s38,b27,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"4n,",5,b38,b28,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4,r29,f+38,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"5d,",5,b28,b+19,r2,v38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,c6+,b2,v39,m3,o17,f2,v37w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"c4+n,",5,f37,s39,f29,f19,f28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,6,s28,f18,f18,f18,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4w,",4,f17w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,b38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,4,f17w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"4w,",5,b28,f29,b29,f29,b38,b28,f18,f19,f29,r27,f+18,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"6w,",5,f19,f29,b38,b29,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,b29,f39,b39,b28,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"6d,",5,b28,b+38,b38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"4+d,",5,f38,b29,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,4,r29,b39,b38,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"4n,",5,b18,f18,r29,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5,s19,f17,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"4d,",5,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"6n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"4n,",5,b29,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"5n,",5,f18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,4,b19,r19,f38,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,6,b19,f39,s38,b+28,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"4x,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6,r28,f37,b29,f28,b38,b28,f28,f28,f19,f38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"4w,",5,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,5,b28,f19,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"4n,",4,f28,b+39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6,f19,f39,b29,b18,f18,f18,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,5,b29,b39,b38,b18,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,6,f39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,4,r29,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"4d,",5,b29,f38,b39,b39,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,6,m2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"4n,",4x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"6w,",5,f29,b28,b18,f39,b28,f17,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,5,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"6d,",5,f28,f18,r29,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,6,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,4,f19,f37,s39,f39,b38,b28,f29,b39,b38,b39,b29,f29,f18w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,6,f28,f19,f28,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,6,f27,f18,f19,f18,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,4,s2,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"4w,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"4x,",4,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,6,b29,f28,f19,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,6,f18,f17,f29,f38,b38,b38,b39,b39,b29,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,6,b29,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,5,f29,f17,f29,b39,b38,b19,f18w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,5,f28,b39,b39,b19,f17,f18,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"4w,",6,b29,f29,f39,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"6w,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,6,b29,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"6n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"4w,",6,f17,f17,f18,f39,b38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"6n,",5,b38,f38,s28,f+18,f;37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,4,f29,f38,b38,s28,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,5,b28,f38,b39,b38,s28,s28,f38,b29,f37,b38,b38,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,4,s29,f38,s27,h29,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"4n,",4,b37,b39,b18,f29,f17,f19,f27,f39,b39,b38,b39,b29,f28,b29,b38,b39,b18,r28,f18,f19,f18,f18,f39,b37,f38,s38,b38,b18*,,,,,,,,,,,,,,
171,6,b27,f19,f39,b28,f18,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"4w,",4,b38,b28,b38,f28,b28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"6d,",6,b28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"4n,",5,b38,f19,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"6w,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"6n,",4,b29,f17,r29,f38,b38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"4w,",5,f29,f29,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"4d,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"6n,",5,b37,s39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,4,r2,j=+38,b2,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"4n,",5,f37,s27,r+28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"4n,",4,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,5,b28,f19,f29,f18,f38,b38,s38,s29,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,4,f18,f38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"4+*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,5,b18,f19,f28,b39,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,6,f39,b38,b39,b29,f19,f19,f28,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"4n,",6,b27,f38,b38,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"4n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"6n,",6,b18,f29,f19,f38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"6n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"c6n,",6,b18,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,4,b37,y-17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"6d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"4n,",6,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,5,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,6,f27,f29,f18,f18,f18,f28,b28,s37,s39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,4,f17,f28,b39,b29,f19,f1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,5,f28,f19,f28,u17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,5,b29,f29,b29,f37,b38,b29,b38,s38,b19,f18w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"4+*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,4,r1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"c6w,",5,b39,b37,b29,b18,f29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,6,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,6,r39,f38,s38,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,5,b27,b28,b27,b28,b39,b38,b38,b39,b39,b27,f38,b18,f19,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"6d,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,4,f29,f38,b39,f18,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"4w,",5,b38,b38,b37,b38,b28,f18,f28,b29,f27,b29,b38,s39,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"6n,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"4d,",5,f28,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,4,b39,b39,f17,f19,f28,b19,r28,f38,b28,b27,s37,s39,b38,b18,f18,f39,s37,y-17,f-1,v39w#,,,,,,,,,,,,,,,,,,,,,,,
216,"4w,",6,b28,f38,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,5,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"6n,",5,b38,b38,b28,f19,f18,f17,f38,b39,b39,b28,b39,b39,b19,f;19,f38,s27,f+28,f2,z1n#,,,,,,,,,,,,,,,,,,,,,,,
220,6,b29,f38,b27,b29,b19,f28,f39,s38,b+;29,f29*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,s2,v17,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"4d,",5,f29,b38,b37,b18,f28,f38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"6d,",5,b38,b37,s39,b38,b39,b38,b19,r29,f38,s2,v18,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,5,b37,f-39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"4x,",5,b39,b39,b38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"4x,",4,b39,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,4,f18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,4,f29,b29,b38,b39,b39,b37,b39,b28,f+39,b3,z18,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"5n,",5,b37,b38,f39,b28,f18,f17,f39,b38,b38,s38,f18,r29,f38,b27,f18,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,6,f18w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"4w,",6,f27,f28,f17,f29,b29,b29,f17,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,6,f29,f38,b28,f38,b38,b39,b38,b29,f19,f17,f17,f27,f38,b38,f19,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"6d,",6,f17,f19,f17,f28,b29,b19,f18,f18,f39,b38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
