,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4d,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4n,",5,f29,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"6w,",4x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"6d,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"4w,",6,b27,f38,b27,f38,b38,b39,b38,b39,b38,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"6n,",4,b39,f19,f28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4w,",6,b18,f38,b38,b39,b38,f38,s18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4n,",4,b38,b28,f17,f19,f29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4w,",5,b17,f39,b38,b38,s39,f38,b39,f38,b19,f19,f18,f18,f19,f28,b28,b38,s28,s39,f38,b38,b+18*,,,,,,,,,,,,,,,,,,,,,
14,6,r29,f18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
