,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
210,5,f2,b2,b2,f1,r1,b2,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"5d,",5,b3,f2,f3,f3,b3,f3,b2,f2,b3,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,
212,6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"5d,",6,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,6,f2,f1,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"5#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,4,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,5,b3,f1,f1,z3,m3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"6n,",6,b1,b1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,6,r2,f1,b1,f1,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"6d,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"6d,",5,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"6n,",6,b2,b3,f3,b3,f1,f2,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"4d,",5,f2,f1,s3,h3,f2,v1,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,5,f2,f2,b2,f2,b2,f1,b3,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,4,s3,b3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,4,s3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"6n,",6,b2,f1,b2,b3,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,6,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,4,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,6,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,5,f1,f3,b3,f3,b3,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,5,f1,f1,r3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"4w,",5,b3,f3,s3,f1,f1,y3,i3,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"5n,",6,b3,b3,f1,f1,b3,b2,f1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"6w,",5,f!#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,4,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,6,b1,b1,f1,b1,f1,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,5,r1,b1,f3,f3,b2,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,5,f1,b1,f1,b1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"6n,",5,f2,f1,r1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,5,b1,b3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"5n,",5,b2,f2,b1,f3,b3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,5,s3,f3,f3,b2,s1,f3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,"4d,",c5,f!#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,6,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"6d,",6,b1,f3,f3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,6,s3,f1,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,"6n,",5,b2,b1,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,"5n,",5,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,"6w,",5,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,"5d,",5,f2,f1,f3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,6,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,"5n,",6,b2,f3,f3,f3,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,"4w,",5,b1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,6,f3,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,"5n,",6,f2,f2,f1,b2,f1,b2,f1,b1,f2,b3,b2,f3,b3,f3,b1,b1w@,,,,,,,,,,,,,,,,,,,,
270,"4w,",5,b2,b3,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
