,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,f38,f+3,m2,o-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,b29,f3,s3,f3,b3,s1,f1,f3,b3,s3,s@,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,b28,s2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"6n,",6,b29,f3,b3,s3,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"6d,",4,b37,s+1,f3,z3,s1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"c6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6,f18,f3,s+2,s1,v3,m+3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"5n,",4,b38,s2,f+3,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"6d,",6,b28,b3,s1,f1,f2,b2,f1,f1,f2,f3,b3,s3,f3*,,,,,,,,,,,,,,,,,,,,,,,
18,5,b19,f2,s3,s+1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"4w,",6,b28,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"4x,",4,b38,s3,s3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,r27,f-3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"4n,",4,b29,f3,b2,f+3,b1,h#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"6n,",6,b28,f3,b2,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"6n,",5,f28,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,f29,b2,f+3,b1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"5n,",4,b28,f3,f3,s3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"4d,",5,b28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"c6n,",6,b39,b2,f+3,m2,o=3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,b37,s3,f3,b3,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"6d,",6,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,c6,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4,b27,f+1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"4d,",5,b38,s3,f+1,f1,v3,m2,o=+1,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6,s27,f+1,l3,o-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,b28,f3,s2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6,b29,f2,f2,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,f38,b3,s3,f3,f1,f2,s3,f3,s3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4,r29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"4w,",5,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"4x,",6,b39,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6,f29,f3,b3,f+3,m3,o=3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"6n,",6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6,f28,f3,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"6d,",6,b28,f3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"4n,",4,b38,s3,f+3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,f19,f3,s+1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"4d,",4,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6,b37,s3,f3,b3,f;3,s3,f+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4,b37,s2,f3,b3,f1,r2,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6,s38,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6,f28,f3,s3,f3,s1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"6n,",5,b29,f3,s3,f3,b3,f+3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"4d,",5,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"6n,",5,r27,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"4w,",4,b29,f1,f1,f+3,b2,i3,s-1,f-;3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"6d,",5,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,c4,b37,s3,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"4d,",5,b27,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6,b29,f1,r1,f3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6,b18,f+1,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"c6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"4d,",4,b28,f1,f3,s3,f1,f1,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4,b39,b3,f+3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,6,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"4n,",5,b+38,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,5,b28,f1,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,5,b38,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"6d,",5,s28,f+3,b2,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,6,s18,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4+,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"6w,",4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,5,b39,s3,f3,b3,f3,b3,f3,f3,s1,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,
93,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"6d,",6,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4,b38,s3,f+3,m3,o-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"6d,",5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4,f29,f2,s2,f+3,b1,v1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"6d,",4,b38,f1,r2,j-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"4n,",6,b29,f1,l1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"6w,",4,b37,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"4x,",4*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"4w,",5,b39,b3,s3,f+1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"6n,",4,b39,f2,f1,f2,b2,f+3,b1,v1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,6,s28,j-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"6x,",6,f38,s2,v3,m2,o-2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"5n,",6,f29,f3,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,6,s29,f3,b3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"4x,",4,b37,s3,f3,s3,f3,s3,f3,b3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"c4d,",4,b37,f3,s1,f3,s3,s3,f1,r1,f3,m2d#,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"6n,",5,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,f28,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"6n,",6,b28,f+3,m1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,6,f19,f1,f2,s+3,b2,z3,s1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"6n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,c6,s19,f1,f1,f1,f;1,f3,b3,s1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"5w,",5,b38,s3,s3,f+3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"6n,",6,b38,b3,f1,f1,f1,f1,f3,y+1,f-3,z2*,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,6,b29,f1,f+1,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,4,f;17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"6n,",5,f38,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6,b28,f2,f3,b3,f+3,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"4d,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"4w,",6,b39,f3,s3,f3,s3,f+1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,4,b17,f1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"6d,",5,f28,f1,f3,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,4,b2,f1,b2,f3,f3,f1,s3,f3,f3,b2,f2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,
138,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,6,r2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6,b1,b1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"4n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"5d,",5,f3,b1,f1,b2,f3,f3,b3,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,5,f2,f3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"5d,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"4w,",5,b2,f3,b3,f3,b3,f1,f1,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"6n,",5,f3,b3,r1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,6,b2,f1,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,6,b2,f3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,5,f2,f1,f2,f1,f1,b2,f3,b3,bx1@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,4,f2,b3,f2,f2,b3,f1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"5d,",5,f2,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"6n,",5,b2,f3,s3,f3,s2,o2,o2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,4,b2,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,6,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"6n,",5,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"5d,",6,f2,f3,f2,f1,s3,f1,b2,u3,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"4d,",5,b3,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,6,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,5,fw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"4w,",5,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4,s2,j1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,6,r2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"5n,",6,b2,f1,b3,b2,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"5n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,c5,f1,b1,f1,b1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,6,s2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,4,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"4w,",6,b2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"6d,",5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"4w,",5,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,6,r2,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"5d,",5,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,5,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,5,f1,b3,s1,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,4,s3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"6w,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,4,s2,f3,f2,o2,s2,o2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"5n,",6,b2,f2,b1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,6,r1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"5n,",6,b2,b3,f3,b2,f2,f3,r2,f1,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,6,f1,f2,b3,b1,b3,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,5,f2,f3,f3,f3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"6d,",5,f!#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,6,s2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,4,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,5,s1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,5,b2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,4,b3,f3,b3,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"5n,",5,f2,b2,f1,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,5,b2,f3,s2,f3,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,6,b1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,6,b2,f3,b3,f2,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"6w,",5,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,5,b1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,6,b3,b1,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,5,b3,f1,f2,b2,b3,r2,o=1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,6,b3,b1,f3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,5,f3,f3,s2,v1,r2w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
