,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2260,6,b28,f18,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2261,4,b37,b39,b27,f+18,l2,o19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,"5d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263,6,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2264,6,b18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2265,4+,b27,h18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2266,6q28,f19,f19,f27,b39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2267,c6,f39,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2268,"6d,",6,b27,f18,f28,u17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269,4q27,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270,6,b27,f38,s17w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2271,6q28,u17,u-3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2272,c4q38,f38,b37,b38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2273,"4n,",6,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2274,4,m18,o=39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2275,6,b38,b39,b37,y17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2276,"4d,",5,b18,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2277,"4w,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2278,4,b37,f38,b38,b37,b39,b18,f28,b27,u17,u-17,r-38*,,,,,,,,,,,,,,,,,,,,,,,,,
2279,"6n,",6,b18,r18,f38,s29,f39,b38,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280,5,b37,f+19,f1,v^37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,"6n,",6,b28,f38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,4,b38,u27,f-38,m3,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,6,b28,f38,b39,b29,f17,f17,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284,5,b29,f39,b37,b28,b39,b29,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285,6,b29,f38,b29,f38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286,6,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2287,4,f17,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2288,"4n,",5,b38,f18,f27,f39,s27,f+19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290,4,b38,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291,"6d,",5,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292,5,f37,u+17,r-3,z38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2293,6,b37,b39,b38,b28,f18,r38,b18,f38,b38,s39,f38,b18*,,,,,,,,,,,,,,,,,,,,,,,,
2294,c5q38,f38,b29,f18,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,4q28,f18,r28,f+39,m2,o19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,4q38,y27,f+39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297,5,b29,f39,b37,b;38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298,6,b38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,4q38,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,6,b28,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,4q18,f28,u37,s-19,l2,v27,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,"5n,",4q29,b38,s38,b38,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,"4q3n#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,6+,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,6,f27,f17,f19,f19,f29,b28,b39,b28,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,5,b38,b28,b+19,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307,4,b28,f38,b38,f39,b19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,"6+#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310,6,b18,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,5,b27,f+38,s2,z17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,4,b28,f+18,l18,o=19,f28,f+38,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,"6d,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2315,4,b39,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2316,"c6d,",5,f18,f19,f17,f19,f18,f38,s29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,"6n,",5,f38,b37,s37,f+18,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2318,5,f29,f29,b28,f19,f29,f38,b38,b38,b37,b38C,,,,,,,,,,,,,,,,,,,,,,,,,,
2319,4,b29,f38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320,6,b29,f28,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,"6w,",5,f28,f39,b28,f18,f17,u17,r-3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322,5,b28,b37,s38,f+19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2323,4q18,r28,f+39,m39,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,"6d,",6q38,f38,b28,f39,s37,s-19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,4q38,s39,f19,r18,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326,6,b17,f+39,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2327,"4n,",5q3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,4q28,f39,s29,f38,b27,f18,r29,f38,b28,f19,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,"4n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330,5,b29,b39,s39,b38,b38,s39,f38,s28,f+;19,f3,z;37*,,,,,,,,,,,,,,,,,,,,,,,,,
2331,"5n,",5,f28,b28,f28,b39,b38,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2332,"6d,",5,f28,b39,b28,f19,r2,v38,m2,o37,s38,b+19,l38,b38,b39,b29,f19,f29,u37,y-17,f-18*,,,,,,,,,,,,,,,,
2333,4q39,f39,b37,b38,b39,b39,b28,f18,f29,f37,b29,f38,s38,f19,r2,v3n@,,,,,,,,,,,,,,,,,,,,,
2334,"6w,",5,b28,b38,b38,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335,4,b38,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2336,"5d,",5,b27,b38,b38,f18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,4,b38,f18,l2,v37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,4,f28,f19,r18w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2339,"6d,",5,f18,f28,b29,f18,f17,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340,c4,b37,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,4,f29,f37,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342,5,b38,f38,b39,b39,f18,f17,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343,6,b38,b38,s39,f39,b39,b37,s2,v19w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,6,b28,f37,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,4q28,f38,b39,f28,f17w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,6,b29,f38,b28,b39,b29,f18,f28,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,"4n,",4,s37,b-38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,"6n,",6,f28,f39,b37,b37,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,c4q38,f29,f28,f39,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351,"6d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,4q37,f38,b38,s27,f+18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,5,b28,b37w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,6,b39,b37,b38,s39,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,4,b29,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,4,b29,f37,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,6,b17,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,"6d,",4,b28,f29,f29,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,4,f28,f+38,s2,z38,s3,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,"6d,",4,f38,b+38,s3,z19,f3,z2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,5,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,6,b27,f18,f39,f37,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366,"4x,",6,b29,f38,b38,b37,b39,f39,s39,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,5,s39,f18,f29,f18,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368,4,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,4,s27,f-18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2370,6,b18,f18,f29,f38,s18,f18,f29,f28,b38,b28,f19,f1n@,,,,,,,,,,,,,,,,,,,,,,,,
2371,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2372,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,4,r27,f-19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,5,b28,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2375,6,s27,f+39,b2,v18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,"c4n,",4,b38,f39,b38,f38,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,5,b27,f29,b37,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,4,b38,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,"6n,",6,f38,f38,f38,b19,r28,f38,b38,f39,b37,b38,b39,b2d@,,,,,,,,,,,,,,,,,,,,,,,
2380,"5n,",5,f37,b37,f38,b29,f39,m2,j1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,"6n,",5,f38,b37,b38,f38,b39,f39,s39,f37,s28,f38,m28,o=19,r28,f18*,,,,,,,,,,,,,,,,,,,,,
2382,"6n,",4,b38,f39,s29,f39,m39,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,"4w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2384,4,b39,f37,b29,f38,b29,f38,s38,f18,l19,f18,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,
2385,"6n,",4,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386,4,s38,f38,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387,"4x,",4,f18,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,"4d,",4,b27,f38,b18,r39,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2389,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,4+,b2,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2391,"4n,",6,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,6,s37,b-1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2394,"4n,",4,f18w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2395,6,s28,f+38,b3,z38,b19w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2396,5,f28,f38,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,4,f27,b38,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2398,"6n,",6,b37,s38,b39,f18,f18,f18,r38,b39,b28,f18*,,,,,,,,,,,,,,,,,,,,,,,,,
2399,"6d,",4,b39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,6,m2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,"4x,",4,f29,f28,s39,f38,b39,f29,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,"4n,",4+,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,"4n,",6,f27,f17,f39,s37,b39,b39,f18,f28,f38,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,
2405,6,f37,f+38,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,6,b28,f18,f27,u+37,s-37,i18,f2,v^17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,4,b38,f37,s27,f-18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,5,b28,u17,u-17,f-38,i3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,4,b29,f39,s2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,4,f29,b38,u17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,4,b39,f37,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,6,s37,b19,f18w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,6,s28,f+18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,6,r39,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,6,b37w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,"c4d,",5,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,5,r27,f-38,b3,z^27,r-1,v38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,"4w,",5,f18,f18,f18,f38,b39,f18,f27,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,"6d,",4,y17,r-17,f-27*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,5,f27,f38,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,5,b29,f38,b39,f39,y17,u-37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,6,b28,f18,f18,f19,f28,b38,s38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,"4n,",5,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,"4w,",4,f38,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,"6w,",5,f27,f39,m28,f+39,m3,o19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,"4n,",4,f38,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,"6n,",4,f29,f28,b37,f18,f19,f38,b29,f38,b39,f18,f28,f39,b39,f17,f3d#,,,,,,,,,,,,,,,,,,,,
2428,"4w,",4,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,"6d,",5,f38,f17,f17,f28,f38,f38,b28,f37,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,6,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,"6n,",4,f29,f39,f38,u27*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,4,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,"6d,",6,b27,f+1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,6,f28,u27,b-39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,4,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,"4w,",4,f17,f19,l39,f29,f18,f39,b37,f+18*,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,6,b37,f+37,f38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,4,b38,f+19,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,"5d,",5,f37,f;29,f29,f29,u27,f-38,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,4,b28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,4,r1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,4,s39,f38,b19,f28,f38,s28,f18,f18,f+39*,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,c5,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,4,m#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,"6d,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,4,s29,f39,b28,f38,b39,f39,b17,f17,f+39,b3x#,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,4,r18,f+38,m2,o28,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,4,b27,f+18,f2,v37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,"6n,",4,f28,f+37,s2,v17,f-1,v28,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,4,b37,b38,s38,f38,b18,f17,f19,f38,s38,b39,f28,f38,s37,f+38,b2,v17*,,,,,,,,,,,,,,,,,,,,
2451,6,s39,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,"4x,",4,f27,f29,f37,f38,s18,f+37,m2,o38*,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,6,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,"4n,",4,m2,j39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,"6n,",5,f29,f38,f38,b37w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,5,r37,f+19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,4,f28,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,6,b27,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,4,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,6,f27,f18,f27,f+37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,6,b18w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,"4+n,",4,f38,f39,s2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,6,b18,f18,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,"6w,",5,f28,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,5,b28,f27,b38,b37,f39,b39,f19,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,6,f28,f39,s37,u-37,s-18,f3,z37w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,"4w,",5,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,5,b27,f38,s37,f+39,s1,v1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,"4n,",4,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473,6,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,c4,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,"4n,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,4,b28,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,5,b29,f18,f38,s18,f38,b28,f17,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,"5d,",4,f28,f39,s27,f-3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,4,r27,f-38,m39,b38,f38,b18,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,4,b37,f-18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,"4n,",6,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,4,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,4,f19,f39,b38,f38,b29,f38,b39,f38,s39,f29,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,
2484,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,5,b29,f38,b19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,5,b29,f38,b37,f38,s2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,"4n,",5,f39,b38,f37,b18w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,"6n,",5,f29,f37,b39,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,4+,r2,z38,m#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,6,f17,f+38,b1,v17w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,6,b28,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,6,b38,f17,r17,f+38,b37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,5,b38,f39,b28,f18,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,4,f19,f39,b37,u37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,"5d,",4,f38,f28,f38,f18,r17,u17,u-37,m-39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,"6d,",c5,f27,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,4,b39,f39,f18,f38,s39,f37,s28,f38,b37,f29,f18*,,,,,,,,,,,,,,,,,,,,,,,,,
2498,6,m19,f39,f27,f39,b29,f18,f38,s37,y3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,4+,b37,i#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,"5d,",5,f18,f18,f18,f18,u2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,4,b28,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,"4n,",5,f28,s39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,c4,b37w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,6,b19,f38,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,5,f19w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,6,b28,f18,r2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,"4d,",5,y17,r-3,z39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,4,f38,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,4+,s1,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,"4n,",4,f17,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,4+,b18w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,6,s28,f18,f28,f19,r27,f+38,m1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,4,m2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,4,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,4,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,6,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,"4n,",4,f39,f38,f19,r27,u-17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,6,s28,f18,f18,f29,b29,f38,b19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,"6n,",4,f28,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,"4x,",4,f29,f17,f+1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,5,b27,f19,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,"4n,",4,f38,u17w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,5,f38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,4,b39,f38,b27,f39,b39,f38,b28,f18,f18,f38,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,
