,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
58,"4n,",5,b27,f3,b2,f1,f2,j3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,f27,i^3,b3,s1,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"4d,",4,b17,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"6n,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"4d,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4,f38,b3,b2,b3,b1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"4n,",4,f39,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"4w,",6,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6,f28,f3,b3,b2,f3,b3,y3,y1,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6,b29,b1,f1,f1,f1,f2,b+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5,b29,f3,b3,f2,b3,b3,b2,f1,r1,f3,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,
69,4+,b3,z^2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4,f17,u1,sn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,5,b37,s+3,s;2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6,b17,f+3,m#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4+,b2,v^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6,l17,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,5,b27,f1,f1,f3,b3,f3,b3,b1,f3,b3,y1*,,,,,,,,,,,,,,,,,,,,,,,,,
78,"5d,",4,b28,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"4n,",5,f39,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4,bw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"4x,",4+,f3,z3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"4d,",6,f19,f3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,6,b19,f1,f1,f1,f1,f3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,6,f29,f1,f2,b+3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,6,b37,y1,f3,m2,p2,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"6w,",4,f28,b2,f+1,f3,h^3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6,b28,f3,b3,b3,b1,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"4d,",4,b28,f1,f1,f2,f3,b3,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4,f17,r2,b+3,m1,f3,f2,b3,b3,b3,b2,f3,y3,y1,f2,v3*,,,,,,,,,,,,,,,,,,,,,
90,4,b28,b3,b3,b3,b3,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,6+,s2,v^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"4n,",4,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4,f28,f37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"c6n,",4,b38,b39,b38,b38,b28,f18,f19,f27,b29,b38,b39,b38,b39,b38,b38,s38,f19*,,,,,,,,,,,,,,,,,,
95,"4d,",6,b28,f18,f18,u37,y-17,l-38,t#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"5d,",c4,b38,b37,s37,f+38,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4,f27,u+27,b-3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"6d,",5,b28,b29,b38,b39,b38,f18,f19,f39,b39,b29,f18,f18,f29,b28,f18,f19,f17,f39,b3d@,,,,,,,,,,,,,,,,
99,4,b39,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,f1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"6n,",6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"4d,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"6w,",4+,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,6,b29,f38,b38,f37,s27,f-18,f2,z38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,6,r37,f-18,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5,b38,f38,b29,f38,y17,r-39,m3,o37,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,6,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,c5,b37,b38,s38,b39,b39,b29,f18,f27,y37w@,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"6d,",4,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,f18,f39,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"4d,",5,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,b27,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"4n,",5,f29,f19w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"6n,",4,b28,f18,f17,f18,f38,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,6,b28,u37,s-3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"4d,",4,b37,y17,f-39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,6,b39,b39,b28,b28,b38,b39,b39,b38,b29,f17,f37,b38,f38,b38,f19,r28,f19,r29,f39*,,,,,,,,,,,,,,,,,
122,4,b28,f18,r29,b39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"6d,",c6,b38,f38,b28,f18,f27,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"4x,",4,b37,u37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,4,f17,f+39,m1,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,4,b28,f+39,m2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"4n,",5,f29,f29,f38,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"4n,",6,f38,b39,f17,f18,f29,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6,b27,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,4,f29,f39,b28,u37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"4n,",4,b38,f18,r29,f17,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"4w,",4,f19,f28,b39,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,4,b38,b;38,b27,f27,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"6n,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,6,b37,b38,b39,b39,b38,b37,s39,f39,b38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,6,b29,b38,b39,b38,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,6,b39,b39,b;19,f18,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,4,f29,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,4,b38,f18,f17,f+38,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"6n,",5,b28,f19,f39,b18,f18,f19,f17,f18,f18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,
147,"6d,",4,b39,f38,b38,f28,f17,f19w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,6,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,4,b38,f18,r28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,6,s39,f38,b28,f18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,6,f28,b38,b38,b39,f18,r1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,4,f27,f18,f28,f28,b39,b39,b1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,5,b39,b29,f28,b37,b38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,4,f28,f29,f28,f17,f17,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,4,s27,f-28*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"6d,",5,b17,f38,b38,b;38,b38,b38,b28,f18,f18,f17,f39,b39,b39w#,,,,,,,,,,,,,,,,,,,,,,
157,"4n,",5,f28,f18,f18,f17,f28,f38,s38,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,5,b38,f18,f29,f!38,b39,b38,b38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,6,f17w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"4d,",4,b;28,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,6,b39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,4,b38,b39,b39,b38,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4,f38,b38,b28,f19,f18,f28,s28,b38,b39,b28,f19,r3n#,,,,,,,,,,,,,,,,,,,,,,,,
165,6,f27,y17,f-18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,6,b37,f39,b38,f18,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,6,f27,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,4,r18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"6w,",4+,b37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"6n,",6,b39,f38,b39,s37,y17w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"6n,",6,b18,f17,f39,b38,b19,f17,f27,f39,b29,b39,y+17,r-18*,,,,,,,,,,,,,,,,,,,,,,,
172,"6d,",4,b37,b29,f18,l2,o=39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,5,f38,s29,f38,s27,f-18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
