,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"5d,",4,f39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,s37,b-18,l39,t3,z17,r-3,z38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4n,",4,b18,f19,u17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"6n,",6,b27,f38,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"6w,",5,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4x,",6,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,b29,b27,f39,s37,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,b37,s+39,b1,v18,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"5d,",4,f18,f38,b37,s28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,b37,b39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"6d,",4,f29,b28,f19,f29,f18,f29,f18,f17,f19,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4n,",5,b27,f39,b39,b29,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
