,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,b28,f18,b29,f17,b29,f17,y37,s-2,v=2d#,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,b37,f29,b28,b29,f18,b29,f17,b29,f28,f28,b29,f39,b37w@,,,,,,,,,,,,,,,,,,,,,,
4,4,m28,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4w,",5,f28,f39,b28,y37,y-17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,b38,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,c6,s27,f+38,b2,z^27*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4d,",5,b38,f37,b38,f29,f18,b18,f18,f19,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,
9,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"4q19w#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4q2d#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4w,",4,f19,f28,f+38,m2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4q28,u17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"6d,",6q19,f18,f17,b18,f18,b17,f29,f39,b37,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4n,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6q17,f+38,b2,z17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"6d,",6,f27,f39,b28,f18q;28,f+39,s2,v^37*,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,b27,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4q27,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6q19,b19,f18,b19,f17,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,c4q29,f38,b28,f38,b18w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"6d,",5,f29,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4q27,f+19,l2,o37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"4n,",5q18,b17,f18,b38,b38,f37,b27,f38,s38,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,
25,"4w,",4,b37,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"4n,",4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"6n,",5,f28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"4n,",4,b28,u17,s-39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"4n,",4,f38,b38,f37,y3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,c6,f28,f27,b18,f19,b!1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"5d,",5,f38,f29,f28,f19,f38,b38,f38,s29,f18q2d#,,,,,,,,,,,,,,,,,,,,,,,,,
32,6,b39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,s28,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"6d,",5,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"4n,",5,f28,b28,f18,b38,s1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"c4x,",4,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"6w,",6,f28,f3,b3,b3,b2,b1,f1,f3,s3,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,
38,4,f28,b1,r2,f+3,b1,v2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,6,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4,f29,f3,b1,f1,f1,f2,f3,b2,f3,b3,b1,f3,b3,b3,b3,b3,b2,f1,f2,b1n@,,,,,,,,,,,,,,,
44,5,f38,f3,b1,f1,f1,f2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"6x,",5,b18,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"4d,",5,b28,f3,b2,b2,f3,b1,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,f38,b2,f3,s3,f1,r1,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"6w,",6,f37,s2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4,f28,f+3,b3,i1,r-1,v3,z3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4,b37,b3,b3,f1,r3,b1,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6,s28,f1,f1,f2,f1,f2,b;3,y1*,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4,f38,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,6,b39,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,b28,f1,f1,f2,f1,r3,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"4n,",5,f29,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6,s39,f3,b1,f2,b3,b2,b1,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"4d,",6,f18,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6,s38,f3,b1,r1,f+3,b2,z3,m+2,t2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,
65,6,f17,f+3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6,s1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4,s39,f3,b2,s1,f1,f1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,c6,s38,f1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"6w,",6,f27,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6,s37,b3,b2,f3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6,b18,f1,f1,f3,s3,f3,b2,f2,f3,s3,u3n@,,,,,,,,,,,,,,,,,,,,,,,,
72,"6d,",4,b37,s3,f1,f1,f3,s3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6,f38,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"6d,",6,b38,s2,f1,f1,f2,b2,b2,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,b38,f2,f1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6,b17,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4,b38,b3,y+3,s1,v2,v2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4,b28,f3,b3,f3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6,s28,f1,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,6,r3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,6,s28,f1,f3,b3,s2,f3,b3,b1,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,
84,6,f38,b3,s2,f3,b2,f1,f1,f1,f1,f1,f1,f2,s3,b3,b3,b3,f3,b3,s2,b3,b1,f3,f3,s#,,,,,,,,,,,
85,4,f28,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"4x,",4,f17,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4,b28,f1,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"6d,",4,b38,f1,r2,f3,b3,s2,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4,f18,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,6,r28,f+3,b1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"6d,",6,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4,s27,f+1,l1,o3,m3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"4w,",6,s28,f1,f1,f1,f2,b2,f1,f3,s3,b3,b2,f1,f1,f+3,s2,b1,l2,o=3*,,,,,,,,,,,,,,,,
95,4,s38,f3,b3,s3,s3,b3,b3,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4,f18,f2,b3,b1,f2,f1,f1,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6,f28,b3,s3,b3,b3,b3,b3,b1,f2,b3,s3,b3,b3d@,,,,,,,,,,,,,,,,,,,,,,
98,"4n,",4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,6,b19,f2,f1,f1,f3,s2,s3,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6,f38,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"4n,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,6,f27,f+3,m2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4,f17,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,6,f37,s3,f3,b3,b3,b2,f1,f1,f3,s3,b3,b3,b3,f3,b3,f1,r2,f+1,f3d@,,,,,,,,,,,,,,,,
105,4,f17,r3,b3,s3,b3,s3,b3,b1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,
106,c4,s38,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"6d,",5,b38,s3,b3,b2,f3,b3,b3,s1n@,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4w,",c4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,r38,b2,f1,f1,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,6,f38,b3,s2,f2,f1,f3,b2,f3,b3,y1,r3,z+3,t1n#,,,,,,,,,,,,,,,,,,,,,,
111,4,f18,f2,s3,b3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6,f27,s3,b3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"6d,",5,b38,b1,f2,f3,b3,y1,r1,r1,f3,m1,o=2,b1,f3,s3,b3,b2,f1w@,,,,,,,,,,,,,,,,,
114,"4w,",4,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"6x,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4,f28,b1,f1,f3,s3,b3,s3,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,4,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,6,b28,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,4,s27,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"6w,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"4n,",4,s38,b3,b3,b3,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"6n,",4,f27,b3,b3,b3,s3,b1,f1,f3,b3,b2,f1,f1,f1,f3n#,,,,,,,,,,,,,,,,,,,,
124,4,s27,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,6,b28,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"4d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,6,s38,j3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"4w,",6,f27,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6,b38,s2,f3,b3,y1,r1,l2,o2*,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"4n,",c4,b29,f2,b2,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,6,b38,s1,f1,f2,f1,r2,f1,r3,y1w@,,,,,,,,,,,,,,,,,,,,,,,,,,
132,4,r28,b+3,s1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"4w,",4,b29,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,6,b27,f1,f1,f1,r3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"c6d,",4,s38,b3,f3,b2,f1,f2,f2,b1,r1,f1,f1x#,,,,,,,,,,,,,,,,,,,,,,,
136,6,s28,b1,r3,b3,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,6,s18,f+3,m1,o1,l2,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"c6x,",6,f38,b2,f3,b3,b2,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,6,b28,f+3,m2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6,f28,f3,b3,b2,f3,b3,b2,b2,f1,f3,b3,s2,f3,s3,f3,b3,b3,b1x@,,,,,,,,,,,,,,,,,
141,"4w,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,c4,b38,f1,f3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4,f1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,6,f28,f1,f3,s3,f3,b3,f1,f2,b3,s3,s1n@,,,,,,,,,,,,,,,,,,,,,,,,
145,"4x,",6,s28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,4,r18,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,4+,s37,z1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"6w,",6,b28,f2,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"4n,",4,f18,f2,s2,f3,b3,f1,f1,f;3*,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"6n,",5,f38,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,4,f27,f1,r3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,6,f38,f3,b3,f3,b2,f1,f1,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,6,s38,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"4w,",5,f27,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"6d,",6,b37,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,4,b29,f2,b3,b3,b3,s3,b3,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,6,b28,b3,s2,s3,b3,b3,f1,f2,f3,b3,s3,b3,b2,f1,f3,b2,b2,f2,f3,b3,s2,b3,b3,b3,b2,f1,f1w@,,,,,,,,
159,"4n,",4,f38,b3,b2,b,f1,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"6d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,4,b29,f2,f1,f1,f2,b3,s3,b3,b3,b3,b3,b3,b3,b3,s1,f3,s2,y1n@,,,,,,,,,,,,,,,,,
162,"V,",4,f28,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"4w,",5,f17,f2,f3,s3,f3,b3,f3,b2,f1,f1,f1,f+3,b3w#,,,,,,,,,,,,,,,,,,,,,
164,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,4,f29,b2,f3,b3,b3,b2,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"6w,",4,b38,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"6n,",5,b28,b2,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"6w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"4n,",6,f37,b3,s3,s3,b3,b3,b3,s2,f1,f1,f1,f3,s2,b3,b3,b;3,b3,s3,b3,b3,b1d@,,,,,,,,,,,,,
170,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"6d,",5,b28,b2,f1,f1,f1,f3,s3,s3,b3,b2,f1,f1,f+3,s2,z^3*,,,,,,,,,,,,,,,,,,,
172,6,b29,f3,b3,b3,s3,b3,b1,f1,f3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,
173,"4n,",4,b28,b2,b2,b2,b2,f1,f1,f3,s2,f+1,f1,v2,f3n@,,,,,,,,,,,,,,,,,,,,,
174,"4n,",4,f28,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,4,b38,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,6,b37,s3,b1,f2,f1,r1,f+3,b2,v^1*,,,,,,,,,,,,,,,,,,,,,,,,,,
177,4,b38,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"4w,",6,b28,s1,f3,s3,f3,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,6,b27,f1,f1,f3,b3,s3,f2,f1,f2,f1,f2,f1,f2,b2,b3,s3,b1,f1,u+3,s2,z2*,,,,,,,,,,,,,,
181,4,b38,s3,b2,b2,f3,b3,b3,b1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"6n,",6,b28,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"4w,",6,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,6,s38,f1,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"6d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,6,b28,f3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"4d,",4,b38,b3,b3,f1,f2,f3,b2,f32,f31*,,,,,,,,,,,,,,,,,,,,,,,,,
188,6,s27,f+3,m1,o2,m2,o3,m1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"4n,",6,f28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,4,f19,f3,b1,f1,f3,s3,f3,s3,f3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,
191,"6w,",4,b38,f3,b3,s2,b2,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"4w,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"6w,",4,b38,b2,f1,f1,f3,s3,f1,f1,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,
194,"6n,",5,b38,s2,j+3,b2,z3,m3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,4,f18,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"4w,",5,b37,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"4d,",6,b28,b1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"4n,",4+,b37,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,6,b38,b3,b2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
