,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
53,"4n,",4,b;27*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6,b28,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5,b29,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6,r38,u17,f-39,r2,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"6d,",5,f27,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"4n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"6+*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4,r37,b+28,b2,v3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"6d,",6,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"4n,",4,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6,b38,b2,f1,r2,b+3,b1,z^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"4n,",5,f28,f2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"6n,",6,f29,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"6w,",5,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"6d,",6,b19,f2,b3,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"6n,",4,b37,s2,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"4x,",6,b37,b3,b3,b3,b1,f1,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4,b29,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"4d,",4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"5d,",4,b19,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4,b39,b3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"6d,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"6d,",6,f19,f1,f1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6,b27,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"4x,",6,f28,f3,b2,f1,f2,b3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4,f29,b2,b2,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6,b38,b3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4,b28,f+1,f1,v3,m2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"6n,",6,b28,b3,b3,b2,f1,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"6d,",4,b39,b1,f1,f2,b+3,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4,b;27,f-3,b1,v3,b3,b-1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"6w,",4,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"6n,",5,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,6,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,6,f29,f3,b;1,f+3,b3,z1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"6d,",6,f28,f1,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"6d,",4,b28,b2,b3,b2,s2,f+3,b1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"4n,",6,b19,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"6d,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"4d,",5,f38,b3,b2,f2,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,6,b28,f1,f2,b+3,s3,z1,l2,p3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"5d,",5,f28,b2,f3,b1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4,f29,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4n,",6,f37,b2,b1,f3,b3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,6,b17,u-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"4n,",6,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"6w,",4,b29,b2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,b19,f1,f;2,f2,f1,f1,f1,f2,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4,b29,f1,f+3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"4n,",5,b27,b3,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,6,f28,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"6n,",5,f28,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"4n,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"4d,",4,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"4w,",6,b28,f3,b3,s1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"4d,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"6d,",5,b39,b2,b2,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"4n,",4,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,4,b29,f1,r2,f+1,f3,z1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"6w,",6,b28,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"4w,",6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"6n,",5,b28,b+3,s;3,b-1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,4,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,6,f19,r2,f+3,b1,v1,f-3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"6d,",6,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,4,b39,b1,r2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"6d,",6,b29,f2,b2,b2,f1,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"6d,",5,f28,b2,f1,f1,f2,f3,b1,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"6w,",6,b28,f1,f2,f2,f2,f1,f1,f3,b3,b3,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
