,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
51,4,f39,b3,b3,f3,b3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"6n,",4,b28,f2,f3,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"4d,",6,b38,y1,f-1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"6d,",6,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4,f29,b3,b3,b2,f1,f2,f3,f3,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4,b29,f2,f1!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"4d,",6,s27,b-1,f3,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6,f29,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6,b27,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"6w,",6,b29,f2,b3,s3,b2,f1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6,b28,y1,f-3,b2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6,f28,f+1,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6,b39,b3,b3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4,b37,f+3,b;3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"6w,",5,b38,b3,s2,f1,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5,f37,b-3,m3,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4,b17,o3,l2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"6d,",4,f17,f+3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4,b29,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"6n,",4,f28,f+3,m2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4,f38,f+2,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"4d,",4,f19,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6,b29,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"4n,",4,b28,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"4n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"6d,",5,f29,b2,f3,b3,f2,b2,f3,b3,b3,b2,f2,f2,f3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,
82,4,b39,f3,s2,f1,f1,f2!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"4w,",5,f29,f3,b3,b3,b2,f1,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"5d,",5,b29,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,6,f27,f2,f1,f1,f1,f3,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4,f28,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"4d,",4,b37,b2,f1,r3,b+3,m1,o=3,b2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"5d,",5,f28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,5,f28,b3,b2,f3,b2,b;3,b1,f3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,5,f29,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4,b38,b3,b3,b2,f3,b3,b3,b2,b3,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,5,f29,f1,f2,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4,b39,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4,f18,f1,f2,b2!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"4n,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6,b28,f1,f2,f+3,b3,z1,f-1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4,s28,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4,f27,f1,f2,f1,f1,f2,b3,s3,f3,s3,f3,b2,f1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"4w,",4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"4w,",5,f18,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,6,b29,f1,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,4,b39,b3,b3,f1,f1,f2,b2,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,b37,b3,s2,f1,f2,b2,b2,f1,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"4d,",6,f28,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,f27,f1,f2,f1,f2,f1,f2,f1,f2,b2,b2,b3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,f29,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"4w,",5,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,b38,b2,f1,f3,k3,s2,f-1,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,4,b39,f3,b3,f2,f2,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,6,b27,f+2,b2,z2,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"4n,",5,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4,f28,b2,f3,b3,f2,f1,f3,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"4w,",4,b39,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,4,b39,b3,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,4,f28,f1,f2,f3,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,4,b37,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,4,f27,b3,b2,f1,f2,f+3,b3,z^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,4,b28,f3,b2,f1,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,4,f29,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"4d,",4,b38,b1,f2,f1,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,4,f19,f2,b2,f3,b3,b2,b3,b3,b2,f2,f1,f1!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6,f18,f2,f3,b2,f1,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,4,f28,f3,s1,f+3,m1,o3,s2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,4,b37,b3,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,4,f29,f2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"4w,",4,b38,b3,s3,f1,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,4,f18,f3,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"5d,",4,b38,b3,s3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"6d,",6,b29,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"6d,",4,b39,b32d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,4,f29,f1,f3,s2,f+1,l1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"5d,",4*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,4,f3,z3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,4,f29,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,6,f29,f2,b3,b3,b2,b+3,m3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,6,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4,s19,f1,f2,f3,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"4n,",6,b29,f2,b;3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"6n,",6,b29,f2,b3,b3,b3,b1,f2,u1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"4w,",5,f27,f1,f2,b2,b3,b1,f2,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,4,f1,j3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"6d,",6,f1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"6n,",4,b28,f1,f3,b3,s3,f+3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,6,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"5d,",4,b29,f2,f2,b3,s3,y3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"6n,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"6d,",4,b28,f2,f2,f1,f1,f3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,6,b28,f+1,f2,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"6d,",6,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"6d,",6,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,4,b19,f3,f1,f1,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,6,b28,f+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"4n,",5,f28,f18,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,6,f!2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"4x,",4,f28,f18,f;29,f38,b38,b38,b29,b28,f39,s38,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,6,f39,b28,b28,s28,s39,s29,f39,s29,f;19,f17,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"6d,",5,b29,f39,b37,s39,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,6,s!1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"4x,",5,f28,b29,f28,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,4,r29,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"6n,",4,f18,f19,f38,b29,b37,b38,b37,s29,f37,b27,f+38,s3,z37*,,,,,,,,,,,,,,,,,,,,,,,,,,
174,4,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"5n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"6n,",5,f29,f!2@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"4w,",4,f18,f39,s38,f39,s2,j=28,f3,z18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"4d;,",5,b38,b29,b19,f28,f+18,f3,z38,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,6,s3!#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"4+d,",5+,f3,z18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"4n,",c5,b37,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,5,r17,f-19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"6d,",5,b37,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,6,f39,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"4d,",6,b19,f19,f28,f18,f19,f18,f27,b38,b29,f18,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,5,f29,f37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,6,b29,f39,b27,f+18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"4d,",5,f29,f18,f;17,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"4x,",4,f29,f28,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,6,f29,f18,f19,f19,f28,f37,b28,f19,f19,f28,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,4,f2,k=38,m3,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,6,s39,b29,r!3#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,4,s37,f-19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"6n,",5,b38,b19,f19,f39,b38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"c4n,",5d;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,6,f!1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"6d,",5,f29,f29,b38,s38,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"c6d;,",4x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"4x;,",4,b38,f38,b18,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"4n,",6,s38,b38,s38,b+19,f3,z37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"6n,",6,f28,f+18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"6n,",6+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,5,f17,f+19,f38,s-3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,4,f28,f39,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"4x,",5,f29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,5,f29,f27,f38,b38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,6,b27,f18,f!2@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,6,f29,f18,f17,f17,f29,f29,b37,s39,f39,s28,f39,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"4w,",5d;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"4d,",5,f17,f18,f29,f28,f19,f;17,f39,f18,f27,f39,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,4,s29,f37,b19,f17,f+28,b;3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"4d;,",6,f28,b28,b28,f39,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,6,s29,b+38,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,4+,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"6d,",4,f17,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,6,f28,f27,f18,f17,f+27,b37,i17,r-1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4,f28,f39,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,6,s38,f39,b38,b39,b38,b39,b28,f19,f18,f18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"4n,",5,b29,f19,f18,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,5,s37,y+17,f-39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"5d,",4+,f2,v29,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"6n,",6+,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,6+,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"4w,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,5,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"6+n,",6+w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,5+,b1,v27,s-,z39,i3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,5,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,4,f18,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,4,f18,f28,b39,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"6w,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,4,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,4,b27,f+18,r3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,6,s29,f37,b29,f18,f18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"c4d,",4,b29,f38,b39,b19,f27,b37,s28,f19,f29,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,4,r37,b;+18,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,6+,f2,z2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
