,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,b29,f3,b2,b2,b3,b3,b2,f3,b3,b2,f2,f2,f2!@,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,b37,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,b37,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,b27,f1,f1,h3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"6d,",5,b28,f1,f2,f3,b3,b2,f1,r1,f1,f2,b2,b2,b3,b3,b3,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,
7,"4n,",5,b27,f3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,b38,b3,b3,f;1,y-1,f-3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"6d,",5,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,f29,f1,f2,j1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4d,",4,b37,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4x,",6,f27,b3,b3,b3,b3,b3,s3,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"6n,",4,f29,b3,b2,b1,f3,b2,b1!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,b37,b3,b3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"4w,",6,b39,b2,f2,f2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,b37,y3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"6n,",4,f29,f1,f3,b2,s3,f1,f2,f3,s3,z1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,f28,f1,r2,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6,b39,b2,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,b39,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"4x,",6,b28,f1,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"6d,",4,b39,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"6n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"4d,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,b29,f3,b2,f1,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6,b18,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6,f39,b2,f3,b3,f3,b3,f3,b3,b3,b;3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"4x,",6,f27,f1,f2,b2,b2,b3,f2,b1,f3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"6n,",5,f27,f1,f2,f3,b2,f2,f;2,f+3,m1,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"6n,",4,b29,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"6n,",6,b39,b2,f1,f1,f1,f1,r2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"4w,",5,b27,f3,s3,f3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4,f29,f+2,b3,z3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4,b2,h1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6,f37,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,f38,b3,b3,f1,l2,o2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"4w,",5,f29,f1,f2,f1,f1,f3,b1,f1,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"6d,",6,b38,b3,b3,b3,b1,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"4w,",5,f38,b3,y3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6,b29,b2,f2,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5,f39,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4,f29,b2,b3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"4n,",4,b27,b3,f1,r1,f3,b3,b3,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,6,b28,f2,f2,f2,f3,b3,b3,b3,b3,b3,b2,f2,b3,b3,b2,b2,f2,f1,f1,f1,f2,b3*,,,,,,,,,,,,,,,,,,
50,4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
