,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,s2,f2,f2,f+3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,f2,f2,r2,f+3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,f2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,b2,f1,r2,f1,f1,f2,f2,b1,r2,f+3,b2,v1,f;3w@,,,,,,,,,,,,,,,,,,,,,,
7,"6n,",6,b2,f1,f1,f2,b2,s+2,b3,z2,b3,z2,f2n@,,,,,,,,,,,,,,,,,,,,,,,
8,5,b3,b2,b3,b2,f3,b2,f2,b+1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,f27,b3,b1,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,b27,f+3,b2,z3,b1,v^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,f37,s+3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"6n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6,b27,f1,f2,f1,f2,f1,r1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"c4n,",4,b38,b3,b3,b2,s3,b3,b1,f1,f3,b2,b3,b3,b2,s3,b2,f1,r2n#,,,,,,,,,,,,,,,,,
17,6,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"6d,",4,b37,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"4n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"6n,",5,b28,f1,f1,f2,b3,b3,s2,f2,f1,f1,f2,f1,f1n#,,,,,,,,,,,,,,,,,,,,,
22,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
