,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
25,"6d,",4,b37,b3,s2,f;2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,b28,f3,b2,u+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"4n,",5,f28,f2,s+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"c6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"4d,",4,s38,f3,s3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"6n,",4,f18,f3,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"4x,",6,f27,f1,r3,f3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,f19,f2,f+1,f2,v3,s1,v^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6,f28,f3,s2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"4x,",5,b28,f+2,b2,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4,f18,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6+,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"5d,",5,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5,b37,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"6n,",6,b27,f+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"4w,",6,f28,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,f28,f2,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4+,b1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"5n,",4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"6n,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"4n,",4,f29,f2,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,c4,b28,f1,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4,b28,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,6,b27,s+3,b3,z1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6+,s27,z1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4+,f27,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4+,b38,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"4n,",4,f18,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"6x,",6,f28,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"4n,",6,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4,f28,f3,s3,b+1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6,f17,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4,b27,f1,r3,f3,b1,f1,f2,f2,b3,f3,b3,s3,f3,b1,r3n#,,,,,,,,,,,,,,,,,,,,,,
74,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"4n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"6n,",6,s28,f+1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"4x,",6,f29,f3,b3,s1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"6w,",5,b3,b3,b3,b2,fn@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"5n,",4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,6+,b2,u^1,f3,v2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,6,b2,f3,b3,s+3,b2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,5,f2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,5,f2,f3,s3,b3,b+3,s2,j1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,5,f2,f1,f2,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"4x,",4+,s2,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,6,f3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,5,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"5d,",5,s3,f3,s2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"4w,",4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,5+,f2,v^3,b2,l2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"6w,",6,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"4w,",6+,f2,z2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,5,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"6d,",5,b2,f+1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6,f2,b3,b2,b2,s+2,b3,z#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,4,s3,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"6d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,4,s2,u3,z^1,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"4n,",4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"6n,",6,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,4,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,b2,f1,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"4w,",4,s1,h1,f3,b3,s+2,t3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,6,b3,y1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,4,f2,f3,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,6,f3,b1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,6,b3,b1,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,6,b72,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"6d,",6,f2,f3,b3,b3,b3,b3,f2,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"6d,",5,b2,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"6w,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6,b72,f1,f1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6,f2,f3,b3,b3,b2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,4,f1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,6,f2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,4,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6+,f3,z3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,4+,f72,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,6,b3,b3,b2,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"4n,",5,s1,f3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6,b3,y3,f3,m2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,6,f2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"6n,",4,f1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,6,f2,f3,b2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,6,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"4n,",5#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,6,f2,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"6d,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"4n,",4,f3,b2,f2,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"6n,",4+,b2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"4n,",6,f3,f1,f1,f1,f3,s3,b3,f3,b1,f2,b1,r2,b1,f2,b3,s2#,,,,,,,,,,,,,,,,,,,,
156,4,f2,f3,b2,f1,f1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"6d,",6,f2,f+3,b1,v^3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"4w,",5,f2,j3,b1,v#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"6d,",6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"6w,",5,b3,b3,s3,s2,f+2,b3,z2,f+3,z2,z2*,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"6n,",4,f2,b3,b3#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"6n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,4,f1,f+2,b1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"6n,",6,b+2,b3,z1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4+,b;2,z#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"6n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,5,b2,f3,b2,f+3,s3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,6,b1,f1,f1,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"5#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"6w,",4+,f2,z#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"5d,",6,f2,b3,b2,f1,f2,b3,s3,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"6d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"5d,",6x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,6,f2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,4,b2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"4n,",4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"6n,",6#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,6,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"4x,",4,s2,f3,s3,s1,r2,s2,f1,f1,r1#,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"6n,",6,b2,r3,s3,s1,r1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,6,s72,b1,l2,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,6+,f72,h1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"6d,",5,f+3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"6d,",5+,b2,z3,b1,v1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,6,f2,f+1,f1,v^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"6d,",5,s1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,4,s1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,4,f2,b2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,4,s2,f1@!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"6w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,4,s2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,6,f3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"4w,",5,b2,f3,b3#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"4w,",4,f2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,6,f2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,4,f2,f2,f3,s2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,6,f2,f3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,6,f2,f1,f2,b+3,b3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,4+,b2,h1,f3#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"4w,",4,f2,f1,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,4+,m2,o2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"6w,",6#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,6,b72,s+1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,f2,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,6+,f2,i3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,6,b2,f2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"4n,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"6w,",6,b3,b2,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,6,f2,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,6,b1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,4,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"6w,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"6d,",5,s2,f3,s1,f2,s;3,s2,r+1,f3,z3,b3,z!@,,,,,,,,,,,,,,,,,,,,,,,,,
232,"6w,",4,f2,f2,f1,f2,b3,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"4x,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,4+,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,4,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"6w,",6,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,6,b3,b3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"4x,",6w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,4,f2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"4n,",5,f3,b3,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"6w,",6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"4x,",6+,f3,z3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,5,s2,j2,f1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"4w,",4,b2,f2,f2,f2,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,6,b72,f+1,f;1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,6,f2,j3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,6,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,6+,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,"6x,",6,f2,f3,y3,f1,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,4,f2,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,6,b2,b+1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"4x,",4+,s2,v1,l#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,4,f72,f+3,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,"6d,",6,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,"4d,",4,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,4,f2,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,4,b2,f1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,"4d,",4,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,"6w,",5,b3,b2,f+3,b1#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,6,f2,f+3,m2,o*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,4+,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,"4d,",4,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,6,b2,b3,s1,f1,f1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,6,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,4+,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,4+,b3,i^2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,6+,b27,i2,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,"6d,",5,b27,f3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,"6w,",4,b27,f1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,"4n,",5,b28,f2,b2,b1,f1,b1,f1,b2,r2,s+3,b3,v^1n@,,,,,,,,,,,,,,,,,,,,,,,,
283,"6w,",5,b28,f3,b1,s1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
