,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4n,",4+,b38,z3,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4+,l27,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"c4x,",4+,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"5d,",6+,m27,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5+,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,f28,f2,f1,f3,s3,s+1,f1,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"c4n,",4,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"6d,",5,r38,s3,s2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,r37,s+1,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6,b17,f-2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6+,b28,v3,m3,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6,s+38,b3,z^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"4d,",6,f18,f1,f1,f2,b2,f1,f2,f2,b3,f;3,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,
21,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"6d,",4,b38,f1,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6,s;27,f+3,m1,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
