,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
55,5,r29,f38,b29,f19,f29,f39,b29,f37,b38,f18,f18,f17,f+38,b3,z3n#,,,,,,,,,,,,,,,,,,,,,,,,,
56,"4n,",4,f28,b38,b29,f18,f18,f+37,m1,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"4x,",6,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"S,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"6x,",4,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"6n,",5,f28,b+39,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"4n,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"6n,",4,f28,b+38,s37,b-;18,f1,v^37,b-3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5,b38,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6,s27,f-18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"5d,",6,f38,b38,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"5d,",5,b29,f39,b37,s38,s37,s+39,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6,b28,f29,b28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"4n,",4,b28,f39,b38,b29,f38,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"4n,",6,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"6d,",4,b29,f19,r28,f+19,f1,v28,b3,z2,v38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6,s27,f-38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"6w,",4,b37,b38,b18,f17,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6,b27,f+18,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"c4w,",6,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"4w,",4,f28,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"4d,",5,f38,b28,f28,f18,f18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,6+,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6,f38,b37,s+19,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"4w,",6,b29,b28,b+;38,b3,z2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4,b29,f39,b29,f38,b38,b38,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,6,b27,b+18,f3,z37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"4n,",4,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"6n,",6,f18,f28,f27,f18,f38,b38,b37,s39,b28,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"4d,",5,b37,s28,f17,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,6,s29,f37,s2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"4d,",4,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"4n,",6,b29,f29,b37,s39,f38,b29,f19,f17,f18,f18,f19,l38,o3n@,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"4n,",4,b29,f29,f18,f18,f18,f39,b27,y17,f-1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,6,b38,b38,b18,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"6n,",6,f28,b38,s38,f+18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4,f29,b39,b39,b38,b18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"6n,",5,b27,f+1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"6d,",6,b28,b29,f29,f28,f18,f18,f19,f28,b+38,b3,z18,r3,z37*,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"6d,",4,b39,b39,l38,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,4+,b3,z^17,f-2,v29,t2,v^3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
