,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
61,4,f19,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4,b38,b1,f3,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6,b17,f3,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"4x,",6,r29,f3,b2,f3,b1,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"6n,",6,b18,f3,b2,b3,s3,f3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4,sd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4+,b2,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"4n,",6,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4,f27,f2,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"6w,",4,b18,f1,f3,b2,f2,f1,f3,b3,b1,r2,f1,f1*,,,,,,,,,,,,,,,,,,,,,,
74,6+,f2,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"6d,",6,f28,f3,b2,f3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"6d,",4,b18,f2,b2,b2,f3,b1,f2,f2,b1,f2,b1d@,,,,,,,,,,,,,,,,,,,,,,,
77,6,s29,f3,b1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4,b19,f3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4,b27,f3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6,b28,f1,f3,b1,fw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4,b29,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"4n,",6,b28,f3,b1,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4,b18,f1,f2,b2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
