,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"6n,",4,b38,b3,b3,b3,b3,f3,b3,b2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"5d,",5,f28,b2,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,r38,j+2,f2,v2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,f18,f3,b3,s3,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,f29,b3,b3,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,f38,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"c4n,",6,f29,b3,b3,y1,r3,m2,p1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,r28,f1,f1,f2,s3,f1,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,f28,f1,f1,f3,b3,f3,b2,f1,f1,f3,b3,b3,b3,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,s28,f3,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,b27,f2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,b39,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4w,",6,b38,b3,b3,f3,f3,b2,f1,f1,f3,s2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,f28,f1,f2,f3,b3,b3,b3,b+1,l2,f1,f3,b3,b3,b2,b1,r3,b3,s1,f3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,
18,4,f18,f2,f3,b2,f1,f1,f1,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6,f28,f3,f3,b1,f1,f1,f2,b2,y1,r3,b3,z^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,b27,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,b28,f3,s3,f1,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6,r27,f+1,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,f198,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6,f28,f3,b1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,f28,b2,s3,f3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4,b38,b3,b3,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5,b18,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6,r28,f3,b3,b1,r2,f+3,m1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"4x,",6,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6,b19,f2,b3,b2,b2,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"6n,",6,f28,f1,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,6,b28,f+3,s2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"6d,",c6,b28,f3,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,6,r28,f3,b3,b1,r2,f+3,m2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6,b28,u1,r1,r1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"4x,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5,f28,f1,f1,f1,r3,u3,y1,f3,m3,t3,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,f28,u1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"cc4d,",4,b28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4+,b2,v^27,f2,z1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"6d,",4,f27,f+3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4,s29,f+38,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"6d,",6,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"4d,",5,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,f28,b19,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"4n,",5,b29,f38,f28,f38,f28,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"4n,",5,f38,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,f29,f39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,c6,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"6n,",c6+*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"4n,",4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"4d,",6,b28,f39,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,cc4,b37,f38,b39,f37,b+1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4,f29,f!19,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"4x,",4,b17,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
