,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
72,"4x,",6+,s2,v38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4,s27,b+39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6,b38,f38,b39,f28,f17,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,b29,f37,s+18,f1,v3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"5d,",6,b38,f28,f28,b28,b38,f37,f18,b17,f18,b;27,b39,f37,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,5,f38,f19,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4,f27,f27,b;29,f29,f28,s28,f38,f27,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4,b19,f27,f29,f37,f38,b37,f38,b39,f38,b38,f19,r29,f18,r1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"4d,",4,f28,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,c4,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4,r28,f+18,m2,o37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4,s27,b+19,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"4x,",5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"4n,",4,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4,f18,b27,s+2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,6,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"6w,",5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4,r38w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,6,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"6n,",5,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"4d,",6,b28,f38,b29,f38,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"4d,",6,f39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"4n,",c5,r;27,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"4n,",6,b28,f28,s28,f18,b38,b27,f27,s17,y+27,b-1,z2,v2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,s1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"c4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,6,b28,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5,f29,f37,f29,f29,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,b38,f28,f17,s39,b38,f38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5,r29,f38,b38,f38,b37,f27,f19,b3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,r37,u+37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,f39,r39w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,c5,r27,f+18,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,b29,b38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"4x,",6,f27,f+38,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5,b3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"6d,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"6n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"4d,",4,b28,f38,b28,f39,b27,f39,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"6d,",5,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,4,b17,f+19,b2,z37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"6w,",5,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,6,b28,f18w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6,f37,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"5d,",5,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,5,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,6,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,5,r19,f38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"6w,",4,b17,f18,s28,b39,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,4,r29,f38,f27,f19,s28,f+17,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,4,b29,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,4,f27,f37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,4,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"4n,",6,r2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,4,r29,f18,s29,f39,f29,f19,b18,f39,f38,f38,r28,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"4n,",6,b28,u+17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,4,f17,b18,f29,f28,y17,s-38,b3,v^27*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"6n,",5,f29,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,4,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"4n,",5,f29,f28,f38,b38,f38,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"4w,",6w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,4,b18,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,5,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,4,s27,b+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,4,f39,s17,b+18,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,5,f38,f38,b29,f37,s18,b28,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,4,f18,b27,s1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,6,f29,b27,s18w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,6,f27,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,6,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"6d,",4+,s2,z37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,6,b38,b29,f19,f39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,4,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"5n,",5,b29,f29,f18,b;17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"4d,",4,f28,b28,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"4n,",4,b39,f;29,f18,b28,f39,r28,f+38,f3,z17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,6,b37,f+38,b2,z29,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"6d,",5,b38,f29,f17,s29,f17,s27,b39w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"6n,",4+,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,5,b29,f37,b38,f28,b29,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,6,b37,r28,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,6,m3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"6d,",6,f28,b28,f29,b38,f37,b27,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,4,b38,f19,r28,f+18,f1,z38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,5,f27,f18,f29,f38,b28,f19,f38w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,5,f38,b;18,s29,f17,s28,s18,b18,f18,b38,b39,f37,b38,f39,b27,f+38,b38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"4n,",6,r28,f38,f27,f18,s1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,4,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"4w,",5,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"4w,",6,f2,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,4,b3,b3,b3,b2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,5,b1,f2,f3,b2,f3,b2,f3,b2,f1,f3,f3,b3,f3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,4,b2,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"4n,",4,b3,b1,f3,b3,b1,r1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"6n,",5,b2,b3,b3,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,6,f2,f3,b2,f3,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"4d,",5,f1,r3,s3,f3,b3,b3,b1,f1,f3,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,5,f2,f3,b1,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"4n,",5,b2,f3,b1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,4,f1,f2,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,6,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"6d,",6,b3,b2,f2,f3,b3,b3,b3,b3,b2,b3,b3,b1,r1,f1,f1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,6,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,4,b2,f1,f3,z2,b-2,v1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,4,f2,f3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,5,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,4,f2,f2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,5,b2,f1,b3,b2,b1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,6,b2,f2,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,4,b2,f1,f3,b2,f2,b2,f3,b3,b2,b3,b3,b2,b3,b2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,6,b2,f3,b3,b2,f1,r2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"6d,",5,b3,b3,b3,b3,b3,b3,b1,f2,f3,b3,b2,b2,f3,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"4n,",5,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"4n,",5,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,4,f2,f1,b3,b3,b3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"6n,",5,b3,b3,b2,f3,s3,f3,b3,b3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,6,b2,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"6n,",4,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"6n,",4,f1,f1,f2,f1,f3,b3,b3,f3,b1,f3,b3,b3,b1,f2,f+3,s3,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"4n,",4,b3,b2,f3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,5,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,6,b2,f3,b1,r3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"4n,",4,b3,b2,b3,b3,b2,b3,b3,b2,f3,b3,b2,f3,b3,b3,f1,f1,r3,b2,b3w@,,,,,,,,,,,,,,,,,,,,,,,,
228,"6d,",6,f3,b3,b3,b2,f3,b2,f2,b3,b3,b3,b2,b3,b1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,4,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,4,f1,f3,b2,u3,b-1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"5n,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,6,b3,b3,b2,b3,b3,b3,b2,b3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"6d,",4,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"4d,",5,b2,b1,r3,f-1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,6,f2,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,4,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
