,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4n,",5,s+38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"6n,",4,b38,f1,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,s38,u3,b+1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,b28,f+3,b2,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"6x,",4+,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"6n,",6,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5+,s37,z3,b3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,s28,f+1,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,f28,f3,b3,f2,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4+,f37,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"4d,",6,f27,f+1,f1,f+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,f38,b3,b1,f1,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6,f28,f1,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4w,",6,b18,f1,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,b28,f1,f1,f+3,m3,p1,l3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"6n,",4,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4+,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,s38,b3,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,c6,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,f28,f2,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"4n,",5,f28,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,f28,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"4d,",6,f38,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5,b28,f3,b1,f1,r3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"6d,",6,f28,f2,f1,f3,b3,b2,u3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,b28,r1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"5d,",5,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"6d,",4,f38,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
