,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
318428,30,40,4,3,1,0,1,"['4nwdx,', '6', 'b18', '28', 's29', '19', 'f28', '18', 'f17', '39', 's37', '38', 's29', '29', 'b39', '17', 'f19', '28', 'f29', '29', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,21,False,True
318441,30,15,0,0,0,0,1,"['4nwdx,', '6', 'f28', '18', 'f17nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,True
318453,40,30,1,1,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b17', '29', 'b39', '39*']",sel_uct,dec_greedy,djoko_bot,A,8,False,True
318460,15,0,2,2,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b39', '38', 's19', '17', 'f29nwdx']",sel_uct,dec_greedy,djoko_bot,A,9,False,True
318482,0,15,3,3,0,0,1,"['4nwdx,', '6', 'b28', '39', 'u39', '29', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
318498,40,30,3,5,0,0,1,"['4nwdx,', '6', 'b28', '38', 's37', '29', 'f18', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
318510,30,40,5,5,0,0,1,"['4nwdx,', '6', 'b28', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
318512,50,40,5,5,0,0,1,"['4nwdx,', '6', 'b28', '39*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
318531,15,0,0,0,1,0,1,"['4nwdx,', '6', 'b28', '38', 's28', '29', 'f38', '37', 'b18', '19', 'f18', '18', 'f28', '19', 'f19', '29', 'f29', '19*']",sel_uct,dec_greedy,djoko_bot,A,18,False,True
318546,30,40,2,0,1,0,1,"['4nwdx,', '6', 'b17', '37', 'b39', '38', 's37', '27', 's37', '29', 'b38', '29', 'f38', '17', 'f28', '27', 'v18', '38', 'b37*']",sel_uct,dec_greedy,djoko_bot,B,19,False,True
318554,0,15,2,2,1,0,1,"['4nwdx,', '6', 'b19', '38', 'b19', '29', 'z37', '19', 'f28', '17', 'f19', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,12,False,True
318611,0,15,2,3,0,0,1,"['4nwdx,', '6', 'b39', '38', 'b38', '28', 'b38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
318653,30,15,5,6,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b38', '18', 'f38', '28', 'b29', '29', 'f29', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,12,False,True
