,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
318657,1,1,6,6,0,0,1,"['4nwdx,', '6', 'f28', '17*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318661,3,3,6,6,0,0,1,"['4nwdx,', '6', 'f28', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318665,5,5,6,6,0,0,1,"['4nwdx,', '6', 'f28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
318673,15,15,0,0,1,0,1,"['4nwdx,', '6', 'f38', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318697,15,15,1,3,1,0,1,"['4nwdx,', '6', 'f18', '29', 'b38*']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
318714,0,0,3,5,1,0,1,"['4nwdx,', '5', '18', 'f39', '29', 'f18', '27', 'b28', '38', 'b38', '19', 'v29', '28', 'f28', '18', 'f38', '29', 'f19', '39', 's39', '37', 'b18', '39', 'b18', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,25,False,False
318726,40,15,0,0,1,1,1,"['4nwdx,', '6', 'f28', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318758,30,30,2,4,1,1,1,"['4nwdx,', '6', 'f28', '17', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,False
318760,40,40,2,4,1,1,1,"['4nwdx,', '6', 'f28', '18', 'f29', '37', 'b29', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,False
318770,15,15,3,5,1,1,1,"['4nwdx,', '6', 'f28', '18*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318789,0,0,1,1,0,0,1,"['6nwdx,', '4', '28', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318793,30,30,1,1,0,0,1,"['4nwdx,', '6', 'f19', '19', 'f29', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,False
318816,40,40,3,3,0,0,1,"['4nwdx,', '6', 'f39', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
318826,30,0,3,5,0,0,1,"['4nwdx,', '6', 'f38', '19', 'f18', '38*']",sel_uct,dec_greedy,djoko_bot,A,6,False,False
318840,30,0,0,1,0,1,1,"['4nwdx,', '6', 'f28', '18*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318848,0,0,1,2,0,1,1,"['4nwdx,', '5', '19', 'f28', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
318854,40,40,1,2,0,1,1,"['4nwdx,', '6', 'f18', '27', 'f28', '18', 'f39', '17', 'f19', '29', 'f17', '19', 'f29', '28', 'f39', '27nwdx']",sel_uct,dec_greedy,djoko_bot,B,16,False,False
318871,0,0,0,0,0,0,1,"['4nwdx,', '5', '19', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
318873,15,15,0,0,0,0,1,"['4nwdx,', '6', 'f18', '29', 'b18*']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
318885,0,0,1,1,0,0,1,"['4nwdx,', '4', '18', 'j38', '18', 'f28', '27', 'f38', '28', 'b38', '28', 'y19', '29', 'b39', '18', 'f38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,17,False,False
318906,15,15,2,4,0,0,1,"['4nwdx,', '6', 'f27', '37*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318940,0,0,2,2,0,1,1,"['4nwdx,', '5', '19', 'f39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
318949,0,0,3,3,0,1,1,"['4nwdx,', '6', '28', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
318996,30,30,1,1,1,1,1,"['4nwdx,', '6', 'f38', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319021,30,30,2,4,1,1,1,"['4nwdx,', '6', 'f28', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
319056,0,0,1,1,0,0,1,"['6nwdx,', '4', '27', 'b19*']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319084,40,40,2,2,0,0,1,"['4nwdx,', '6', 'f38', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319086,40,40,2,2,0,0,1,"['4nwdx,', '6', 'f38', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
319124,40,40,5,3,0,0,1,"['4nwdx,', '6', 'f18', '29', 's27', '19', 'f39', '38', 'b29', '28', 'f18', '29', 'f38', '27', 'b29', '17*']",sel_uct,dec_greedy,djoko_bot,A,16,False,False
319126,40,40,5,3,0,0,1,"['4nwdx,', '6', 'f37', '39*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
319130,40,40,5,3,0,0,1,"['4nwdx,', '6', 'f38', '18', 'r29', '18', 'f27', '38', 'b39', '17', 'f28', '39', 'b37', '39', 'b19', '37', 's37', '38', 's38', '18*']",sel_uct,dec_greedy,djoko_bot,A,20,False,False
319137,0,0,0,1,1,0,1,"['4nwdx,', '4', '18', 'j38', '29', 'f38', '38', 'f19', '19', 'f17', '38', 'b39', '38', 'b38', '27', 's28', '39', 'b39', '19', 'f28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,21,False,False
319165,40,15,2,3,1,0,1,"['4nwdx,', '6', 'f28', '18*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
319172,15,15,3,4,1,0,1,"['4nwdx,', '6', 'f38', '17', 'r28', '29', 'm29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,False
319186,30,30,4,5,1,0,1,"['4nwdx,', '6', 'f28', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
319204,40,40,5,6,1,0,1,"['4nwdx,', '6', 'f29', '29', 'b27nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,False
319243,0,0,2,2,1,1,1,"['6nwdx,', '6', '19', 'f37', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,False,False
