,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
333753,30,30,1,1,0,1,1,"['4', 'b38', '19', 'f38', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
333755,40,40,1,1,0,1,1,"['4', 'b37', '19', 'r17', '37', 'b38', '39', 's38', '38', 'm28', '38*']",sel_uct,dec_greedy,djoko_bot,A,11,True,False
333763,0,0,3,1,0,1,1,"['6', '38', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
333765,30,0,3,1,0,1,1,"['4', 'b28', '38', 'b28', '28', 'f29', '29', 'f19', '37*']",sel_uct,dec_greedy,djoko_bot,A,9,True,False
333767,40,15,3,1,0,1,1,"['4', 'b29', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
333780,40,40,4,2,0,1,1,"['4', 'b37', '17', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
333790,0,0,5,3,0,1,1,"['6', '38', 'b19', '28', 'f29', '29', 'f38', '28', 's28', '18', 'f19', '38', 'b29', '39', 'b39', '38', 'b38', '19', 'f28', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,20,True,False
333800,0,0,0,1,1,1,1,"['4', '39', 'o17', '18', 'f17*']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
333802,15,15,0,1,1,1,1,"['4', 'b28', '38', 's28', '38', 'b29', '27', 'f28', '17', 'f38', '19', 'f38', '29', 'b39', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,15,True,False
333804,15,40,0,1,1,1,1,"['4', 'b27', '29', 'f39', '17', 'f39', '19', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,False
333810,0,0,0,3,1,1,1,"['6', '37', 'y38*']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
333816,40,40,0,3,1,1,1,"['4', 'b39', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
333818,40,40,0,3,1,1,1,"['4', 's28', '39', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
333840,30,30,1,4,1,1,1,"['4', 'b39', '18', 'f17', '19*']",sel_uct,dec_greedy,djoko_bot,A,5,True,False
333868,15,40,0,0,0,0,1,"['4', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
333876,0,0,0,2,0,0,1,"['4', '37', 'b18*']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
333878,0,30,0,2,0,0,1,"['4', 's28', '38', 'b29', '28', 's39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,False
333880,15,40,0,2,0,0,1,"['4', 's19', '19', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
333898,15,15,1,5,0,0,1,"['4', 'b37', '18', 'f18', '18', 'f17', '28', 'f38', '18', 'f38', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,True,False
333900,40,15,1,5,0,0,1,"['4', 's38', '37', 'f28nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
333905,0,0,0,0,0,1,1,"['6', '37', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
333907,0,30,0,0,0,1,1,"['4', 'b37', '17', 'f18', '28', 'b39', '27', 'f39', '19', 'f28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,True,False
333917,0,0,1,1,0,1,1,"['6', '37', 'b37', '17', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
333919,30,0,1,1,0,1,1,"['4', 's29', '19', 'f17', '37', 's28', '37', 'b28', '37', 'b28', '19', 'f28nwdx']",sel_uct,dec_greedy,djoko_bot,A,12,True,False
333921,30,30,1,1,0,1,1,"['4', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
333929,0,0,1,3,0,1,1,"['6', '39', 'b39', '38', 'b38', '27', 'b19', '38', 'b37', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,True,False
333943,15,15,2,4,0,1,1,"['4', 'b28', '38', 'b19*']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
333954,15,15,4,4,0,1,1,"['4', 'b19', '38', 's38', '19', 'f28', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,False
333958,40,40,4,4,0,1,1,"['4', 'b37', '18', 'f38', '19', 'f19', '18', 'f19', '18*']",sel_uct,dec_greedy,djoko_bot,A,9,True,False
333966,0,0,0,0,1,1,1,"['4', '38', 'b28', '19*']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
333968,15,15,0,0,1,1,1,"['4', 'b38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
333972,40,40,0,0,1,1,1,"['4', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
333984,30,30,1,1,1,1,1,"['4', 'b38', '19', 'f39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
333994,0,0,2,2,1,1,1,"['6', '37', 'b38', '18', 'f17*']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
334006,15,15,3,3,1,1,1,"['4', 's37', '29', 'b39nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
334008,30,30,3,3,1,1,1,"['4', 'b39', '18*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
334026,0,0,5,5,1,1,1,"['4', '37', 'y17*']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
334028,30,0,5,5,1,1,1,"['4', 's18', '27', 'f38', '19', 'r37', '19', 'f18', '18*']",sel_uct,dec_greedy,djoko_bot,A,9,True,False
334043,0,0,6,6,1,1,1,"['4', '39', 'b29', '18', 'f18', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
334047,3,1,6,6,1,1,1,"['4', 'b39', '18*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
334051,6,2,6,6,1,1,1,"['4', 'b29', '19*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
334071,30,30,1,2,0,0,1,"['4', 'b38', '19', 'f39*']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
334080,15,15,3,2,0,0,1,"['4', 'b38', '17*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
334082,30,30,3,2,0,0,1,"['4', 'b27', '27', 'b19', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
334084,40,40,3,2,0,0,1,"['4', 'm29', '18', 'f18', '29', 'f37nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,False
334093,30,0,3,4,0,0,1,"['4', 's27', '18', 'f39', '29', 'f38', '37', 'b19', '29', 'f28', '19', 'f19nwdx']",sel_uct,dec_greedy,djoko_bot,A,12,True,False
334095,40,15,3,4,0,0,1,"['4', 'b38', '19', 'f38', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
334105,0,0,4,5,0,0,1,"['4', '39', 'b39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
334109,40,15,4,5,0,0,1,"['4', 'b28', '39', 's38', '17', 'f27', '38', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,8,True,False
334120,30,30,5,6,0,0,1,"['4', 's39', '38', 'b39', '19', 'f37', '19*']",sel_uct,dec_greedy,djoko_bot,A,7,True,False
334122,40,40,5,6,0,0,1,"['4', 'b27', '28', 'm27', '29', 'f28', '39', 'm37', '19', 'f29', '17*']",sel_uct,dec_greedy,djoko_bot,A,11,True,False
334146,40,40,0,1,0,1,1,"['4', 'b27', '28', 'b39', '19', 'f19', '38', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,False
334152,40,40,0,1,0,1,1,"['4', 'b39', '17', 'f17', '38', 'b39', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,False
334154,40,40,0,1,0,1,1,"['4', 'b19', '38', 'b28nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
